day,home_team,away_team,home_score,away_score
1,Olympique de Marseille,FC Nantes,1 , 0
1,Olympique Lyonnais,AC Ajaccio,2 , 1
1,RC Strasbourg,AS Saint-Etienne,0 , 1
1,LOSC Lille,AS Aixoise,2 , 1
1,Angers SCO,FC Rouen 1899,3 , 0
1,FC Sochaux-Montbéliard,OGC Nice,0 , 2
1,Stade Rennais FC,RC Lens,1 , 0
1,CS Sedan,Valenciennes FC,1 , 1
1,FC Metz,AS Red Star 93,1 , 1
1,AS Monaco FC,Girondins de Bordeaux,1 , 2
2,LOSC Lille,Olympique Lyonnais,1 , 1
2,AS Saint-Etienne,RC Lens,3 , 0
2,OGC Nice,CS Sedan,1 , 0
2,Girondins de Bordeaux,Olympique de Marseille,1 , 2
2,AS Aixoise,Angers SCO,1 , 3
2,Valenciennes FC,FC Metz,1 , 2
2,FC Nantes,RC Strasbourg,3 , 0
2,FC Rouen 1899,FC Sochaux-Montbéliard,1 , 0
2,AC Ajaccio,Stade Rennais FC,2 , 0
2,AS Red Star 93,AS Monaco FC,2 , 0
3,Angers SCO,AC Ajaccio,3 , 0
3,AS Saint-Etienne,Girondins de Bordeaux,1 , 0
3,Olympique de Marseille,OGC Nice,0 , 2
3,RC Lens,FC Nantes,1 , 3
3,CS Sedan,LOSC Lille,1 , 1
3,FC Metz,FC Rouen 1899,1 , 1
3,Stade Rennais FC,Olympique Lyonnais,1 , 0
3,RC Strasbourg,AS Red Star 93,2 , 1
3,AS Monaco FC,Valenciennes FC,0 , 1
3,FC Sochaux-Montbéliard,AS Aixoise,1 , 1
4,FC Nantes,AS Saint-Etienne,1 , 1
4,LOSC Lille,Stade Rennais FC,2 , 0
4,Olympique Lyonnais,Angers SCO,8 , 0
4,Girondins de Bordeaux,RC Lens,6 , 1
4,Valenciennes FC,RC Strasbourg,0 , 1
4,FC Rouen 1899,CS Sedan,0 , 0
4,AS Aixoise,AS Monaco FC,0 , 0
4,OGC Nice,FC Metz,4 , 1
4,AS Red Star 93,Olympique de Marseille,2 , 0
4,AC Ajaccio,FC Sochaux-Montbéliard,1 , 1
5,AS Saint-Etienne,AS Red Star 93,1 , 1
5,Olympique de Marseille,LOSC Lille,0 , 0
5,RC Strasbourg,Girondins de Bordeaux,0 , 1
5,FC Nantes,FC Rouen 1899,0 , 0
5,FC Metz,AS Aixoise,3 , 1
5,FC Sochaux-Montbéliard,Olympique Lyonnais,3 , 1
5,CS Sedan,AC Ajaccio,2 , 0
5,AS Monaco FC,OGC Nice,2 , 2
5,Angers SCO,Stade Rennais FC,1 , 1
5,RC Lens,Valenciennes FC,1 , 0
6,LOSC Lille,Angers SCO,2 , 1
6,Girondins de Bordeaux,FC Nantes,6 , 2
6,FC Rouen 1899,Olympique de Marseille,1 , 2
6,Stade Rennais FC,FC Sochaux-Montbéliard,1 , 1
6,Olympique Lyonnais,AS Monaco FC,1 , 2
6,OGC Nice,RC Strasbourg,2 , 0
6,Valenciennes FC,AS Saint-Etienne,1 , 2
6,AS Red Star 93,RC Lens,3 , 2
6,AC Ajaccio,FC Metz,2 , 1
6,AS Aixoise,CS Sedan,4 , 2
7,RC Lens,OGC Nice,0 , 0
7,AS Saint-Etienne,AS Aixoise,3 , 1
7,Girondins de Bordeaux,LOSC Lille,2 , 1
