day,home_team,away_team,home_score,away_score
1,OGC Nice,Angers SCO,3 , 1
1,Stade de Reims,Paris Saint-Germain,2 , 0
1,LOSC Lille,AS Nancy-Lorraine,4 , 3
1,FC Nantes,Stade Lavallois,2 , 1
1,FC Metz,Olympique de Marseille,2 , 1
1,AS Saint-Etienne,SC Bastia,2 , 1
1,RC Strasbourg,Olympique Lyonnais,1 , 0
1,Nîmes Olympique,AS Monaco FC,1 , 0
1,Girondins de Bordeaux,FC Sochaux-Montbéliard,1 , 1
1,Paris FC,Valenciennes FC,0 , 2
2,Olympique Lyonnais,Stade de Reims,1 , 1
2,Valenciennes FC,LOSC Lille,4 , 2
2,Paris Saint-Germain,FC Metz,0 , 2
2,Stade Lavallois,RC Strasbourg,2 , 2
2,FC Sochaux-Montbéliard,OGC Nice,2 , 1
2,SC Bastia,Paris FC,5 , 1
2,AS Nancy-Lorraine,Nîmes Olympique,3 , 0
2,Olympique de Marseille,AS Saint-Etienne,2 , 0
2,AS Monaco FC,FC Nantes,2 , 1
2,Angers SCO,Girondins de Bordeaux,0 , 0
3,FC Metz,Valenciennes FC,1 , 0
3,RC Strasbourg,FC Nantes,2 , 1
3,OGC Nice,Olympique de Marseille,4 , 2
3,Stade de Reims,Stade Lavallois,1 , 1
3,Girondins de Bordeaux,SC Bastia,2 , 0
3,LOSC Lille,AS Monaco FC,4 , 2
3,AS Saint-Etienne,FC Sochaux-Montbéliard,3 , 1
3,Angers SCO,AS Nancy-Lorraine,2 , 1
3,Paris FC,Olympique Lyonnais,0 , 0
3,Nîmes Olympique,Paris Saint-Germain,1 , 2
4,Stade Lavallois,FC Metz,0 , 1
4,AS Monaco FC,RC Strasbourg,0 , 2
4,FC Sochaux-Montbéliard,Angers SCO,4 , 0
4,Valenciennes FC,AS Saint-Etienne,0 , 0
4,Olympique de Marseille,Girondins de Bordeaux,0 , 0
4,Paris Saint-Germain,LOSC Lille,0 , 0
4,AS Nancy-Lorraine,Paris FC,5 , 1
4,SC Bastia,OGC Nice,5 , 2
4,FC Nantes,Stade de Reims,2 , 0
4,Olympique Lyonnais,Nîmes Olympique,3 , 1
5,Stade de Reims,RC Strasbourg,1 , 1
5,FC Metz,Olympique Lyonnais,1 , 2
5,OGC Nice,Valenciennes FC,3 , 4
5,Girondins de Bordeaux,Paris Saint-Germain,2 , 0
5,LOSC Lille,Stade Lavallois,5 , 3
5,AS Saint-Etienne,AS Nancy-Lorraine,3 , 2
5,Angers SCO,SC Bastia,0 , 2
5,FC Sochaux-Montbéliard,AS Monaco FC,1 , 2
5,Nîmes Olympique,FC Nantes,4 , 2
5,Paris FC,Olympique de Marseille,2 , 1
6,RC Strasbourg,FC Metz,3 , 0
6,Valenciennes FC,Girondins de Bordeaux,0 , 1
6,SC Bastia,FC Sochaux-Montbéliard,3 , 0
6,Olympique Lyonnais,AS Saint-Etienne,2 , 0
6,FC Nantes,LOSC Lille,0 , 0
6,AS Nancy-Lorraine,OGC Nice,3 , 1
6,AS Monaco FC,Stade de Reims,3 , 0
6,Stade Lavallois,Nîmes Olympique,2 , 2
6,Olympique de Marseille,Angers SCO,0 , 3
6,Paris Saint-Germain,Paris FC,2 , 2
7,LOSC Lille,RC Strasbourg,1 , 2
7,Girondins de Bordeaux,AS Nancy-Lorraine,0 , 0
7,AS Saint-Etienne,FC Nantes,3 , 1
7,FC Metz,AS Monaco FC,1 , 1
7,SC Bastia,Olympique de Marseille,1 , 3
7,FC Sochaux-Montbéliard,Olympique Lyonnais,5 , 1
7,Angers SCO,Valenciennes FC,1 , 0
7,Nîmes Olympique,Stade de Reims,4 , 0
7,OGC Nice,Paris Saint-Germain,1 , 3
7,Paris FC,Stade Lavallois,2 , 2
8,RC Strasbourg,Nîmes Olympique,0 , 0
8,Olympique Lyonnais,OGC Nice,4 , 0
8,Stade Lavallois,Girondins de Bordeaux,3 , 1
8,Paris Saint-Germain,AS Saint-Etienne,1 , 1
8,AS Nancy-Lorraine,FC Metz,1 , 1
8,Valenciennes FC,SC Bastia,3 , 0
8,Stade de Reims,LOSC Lille,0 , 0
8,AS Monaco FC,Paris FC,2 , 1
8,Olympique de Marseille,FC Sochaux-Montbéliard,2 , 2
8,FC Nantes,Angers SCO,5 , 0
9,LOSC Lille,Nîmes Olympique,1 , 1
9,Angers SCO,Paris Saint-Germain,2 , 2
9,Paris FC,RC Strasbourg,0 , 1
9,Girondins de Bordeaux,Olympique Lyonnais,4 , 1
9,AS Saint-Etienne,AS Monaco FC,4 , 1
