day,home_team,away_team,home_score,away_score
1,Olympique Lyonnais,AS Nancy-Lorraine,4 , 0
1,FC Sochaux-Montbéliard,Girondins de Bordeaux,4 , 1
1,Olympique de Marseille,AS Saint-Etienne,0 , 2
1,Stade Rennais FC,OGC Nice,1 , 0
1,RC Lens,Nîmes Olympique,0 , 1
1,AS Monaco FC,Stade de Reims,3 , 3
1,ESTAC Troyes,CS Sedan,2 , 2
1,Angers SCO,Paris FC,1 , 1
1,FC Metz,FC Nantes,1 , 1
1,SC Bastia,RC Strasbourg,0 , 0
2,ESTAC Troyes,Olympique Lyonnais,1 , 2
2,AS Saint-Etienne,FC Metz,2 , 0
2,Stade de Reims,Paris FC,4 , 0
2,Nîmes Olympique,FC Sochaux-Montbéliard,1 , 1
2,FC Nantes,AS Monaco FC,2 , 1
2,CS Sedan,Stade Rennais FC,1 , 1
2,OGC Nice,RC Lens,2 , 4
2,RC Strasbourg,Angers SCO,2 , 2
2,AS Nancy-Lorraine,SC Bastia,2 , 0
2,Girondins de Bordeaux,Olympique de Marseille,0 , 0
3,Olympique Lyonnais,CS Sedan,2 , 0
3,AS Monaco FC,AS Saint-Etienne,2 , 3
3,Paris FC,FC Nantes,2 , 5
3,Stade Rennais FC,ESTAC Troyes,2 , 1
3,Angers SCO,Stade de Reims,3 , 1
3,RC Lens,AS Nancy-Lorraine,1 , 0
3,FC Metz,Nîmes Olympique,1 , 1
3,Olympique de Marseille,RC Strasbourg,6 , 1
3,FC Sochaux-Montbéliard,OGC Nice,0 , 1
3,SC Bastia,Girondins de Bordeaux,2 , 0
4,AS Saint-Etienne,Paris FC,4 , 0
4,FC Nantes,Angers SCO,1 , 0
4,OGC Nice,Olympique Lyonnais,4 , 1
4,Nîmes Olympique,Olympique de Marseille,4 , 1
4,Stade Rennais FC,SC Bastia,1 , 2
4,AS Nancy-Lorraine,Stade de Reims,2 , 2
4,CS Sedan,FC Sochaux-Montbéliard,1 , 1
4,ESTAC Troyes,RC Lens,4 , 1
4,RC Strasbourg,AS Monaco FC,3 , 1
4,Girondins de Bordeaux,FC Metz,3 , 1
5,Angers SCO,AS Saint-Etienne,4 , 0
5,Olympique Lyonnais,Stade Rennais FC,2 , 2
5,Stade de Reims,FC Nantes,4 , 2
