day,home_team,away_team,home_score,away_score
1,Olympique de Marseille,SR Colmar,7 , 2
1,FC Metz,Stade Rennais FC,1 , 6
1,FC Sochaux-Montbéliard,Toulouse FC,3 , 0
1,RC Strasbourg,FC Nancy,4 , 2
1,AS Saint-Etienne,Stade de Reims,2 , 3
1,CO Roubaix-Tourcoing,SO Montpellier,2 , 3
1,AS Cannes,RC Paris,2 , 1
1,FC Sète 34,LOSC Lille,1 , 0
1,AS Red Star 93,OGC Nice,1 , 1
2,Olympique de Marseille,CO Roubaix-Tourcoing,4 , 2
2,RC Strasbourg,FC Sochaux-Montbéliard,0 , 3
2,OGC Nice,FC Metz,5 , 2
2,SR Colmar,Stade de Reims,3 , 3
2,AS Red Star 93,FC Sète 34,2 , 2
2,Toulouse FC,Stade Rennais FC,2 , 1
2,LOSC Lille,AS Saint-Etienne,5 , 0
2,SO Montpellier,RC Paris,0 , 4
2,FC Nancy,AS Cannes,1 , 0
3,RC Paris,Olympique de Marseille,5 , 4
3,Stade Rennais FC,RC Strasbourg,1 , 1
3,AS Saint-Etienne,AS Red Star 93,2 , 2
3,FC Sochaux-Montbéliard,AS Cannes,4 , 0
3,OGC Nice,Toulouse FC,2 , 1
3,Stade de Reims,LOSC Lille,2 , 4
3,FC Sète 34,FC Metz,1 , 1
3,FC Nancy,SO Montpellier,1 , 0
3,CO Roubaix-Tourcoing,SR Colmar,3 , 2
4,SO Montpellier,FC Sochaux-Montbéliard,2 , 1
4,Olympique de Marseille,FC Nancy,3 , 1
4,Toulouse FC,FC Sète 34,0 , 2
4,SR Colmar,LOSC Lille,2 , 2
4,CO Roubaix-Tourcoing,RC Paris,2 , 2
4,RC Strasbourg,OGC Nice,3 , 1
4,AS Red Star 93,Stade de Reims,3 , 5
4,AS Cannes,Stade Rennais FC,1 , 1
4,FC Metz,AS Saint-Etienne,2 , 0
5,FC Sochaux-Montbéliard,Olympique de Marseille,1 , 1
5,LOSC Lille,AS Red Star 93,2 , 1
5,Stade de Reims,FC Metz,6 , 1
5,OGC Nice,AS Cannes,2 , 0
5,FC Sète 34,RC Strasbourg,0 , 1
5,Stade Rennais FC,SO Montpellier,3 , 0
5,RC Paris,SR Colmar,3 , 3
5,FC Nancy,CO Roubaix-Tourcoing,1 , 2
5,AS Saint-Etienne,Toulouse FC,4 , 2
6,AS Red Star 93,FC Metz,2 , 6
6,OGC Nice,Olympique de Marseille,0 , 5
6,Stade de Reims,RC Strasbourg,3 , 0
6,Stade Rennais FC,CO Roubaix-Tourcoing,3 , 1
6,LOSC Lille,Toulouse FC,1 , 1
6,FC Sochaux-Montbéliard,RC Paris,1 , 2
6,FC Sète 34,SO Montpellier,2 , 1
6,AS Saint-Etienne,AS Cannes,3 , 1
6,FC Nancy,SR Colmar,1 , 2
7,Olympique de Marseille,Stade Rennais FC,1 , 3
7,RC Paris,FC Nancy,5 , 1
7,AS Cannes,FC Sète 34,0 , 2
7,Toulouse FC,Stade de Reims,2 , 0
7,FC Metz,LOSC Lille,3 , 1
7,SO Montpellier,OGC Nice,1 , 1
7,CO Roubaix-Tourcoing,FC Sochaux-Montbéliard,5 , 1
7,SR Colmar,AS Red Star 93,3 , 0
7,RC Strasbourg,AS Saint-Etienne,1 , 2
8,RC Paris,Stade Rennais FC,2 , 3
8,AS Cannes,Stade de Reims,1 , 3
8,RC Strasbourg,LOSC Lille,0 , 6
8,SR Colmar,FC Metz,5 , 1
8,CO Roubaix-Tourcoing,OGC Nice,2 , 1
8,Olympique de Marseille,FC Sète 34,3 , 1
8,FC Nancy,FC Sochaux-Montbéliard,2 , 2
8,SO Montpellier,AS Saint-Etienne,2 , 2
8,Toulouse FC,AS Red Star 93,4 , 1
9,Stade Rennais FC,FC Nancy,4 , 0
9,Stade de Reims,SO Montpellier,6 , 4
9,LOSC Lille,AS Cannes,2 , 0
9,AS Saint-Etienne,Olympique de Marseille,4 , 1
9,FC Sète 34,CO Roubaix-Tourcoing,0 , 0
9,FC Sochaux-Montbéliard,SR Colmar,2 , 0
9,OGC Nice,RC Paris,3 , 0
9,FC Metz,Toulouse FC,2 , 1
9,AS Red Star 93,RC Strasbourg,1 , 1
10,FC Nancy,LOSC Lille,0 , 1
10,Olympique de Marseille,Toulouse FC,4 , 0
10,FC Sochaux-Montbéliard,Stade de Reims,3 , 0
10,RC Paris,AS Red Star 93,4 , 0
10,OGC Nice,FC Sète 34,4 , 1
10,CO Roubaix-Tourcoing,FC Metz,2 , 2
10,SR Colmar,AS Cannes,1 , 1
10,SO Montpellier,RC Strasbourg,2 , 0
10,Stade Rennais FC,AS Saint-Etienne,1 , 3
11,LOSC Lille,FC Sochaux-Montbéliard,3 , 1
11,RC Strasbourg,Olympique de Marseille,1 , 2
11,Stade de Reims,Stade Rennais FC,4 , 2
11,FC Metz,RC Paris,1 , 2
11,AS Saint-Etienne,OGC Nice,2 , 0
11,FC Sète 34,SR Colmar,3 , 4
11,Toulouse FC,CO Roubaix-Tourcoing,2 , 0
11,AS Cannes,SO Montpellier,3 , 0
