day,home_team,away_team,home_score,away_score
1,AS Saint-Etienne,AC Ajaccio,3 , 1
1,Olympique de Marseille,FC Sochaux-Montbéliard,0 , 0
1,SC Bastia,Olympique Lyonnais,2 , 4
1,AS Red Star 93,Angers SCO,3 , 4
1,RC Strasbourg,FC Rouen 1899,3 , 2
1,FC Nantes,FC Metz,1 , 0
1,Angoulême,Nîmes Olympique,1 , 0
1,Stade Rennais FC,Valenciennes FC,1 , 1
1,CS Sedan,Girondins de Bordeaux,1 , 1
2,Olympique Lyonnais,CS Sedan,4 , 2
2,AS Saint-Etienne,FC Metz,2 , 0
2,Valenciennes FC,Angoulême,0 , 1
2,Girondins de Bordeaux,RC Strasbourg,4 , 2
2,FC Rouen 1899,Stade Rennais FC,4 , 0
2,FC Sochaux-Montbéliard,AS Red Star 93,0 , 3
2,AC Ajaccio,FC Nantes,2 , 1
2,Nîmes Olympique,Olympique de Marseille,1 , 1
2,Angers SCO,SC Bastia,5 , 0
3,Olympique Lyonnais,Nîmes Olympique,3 , 0
3,FC Nantes,AS Saint-Etienne,2 , 2
3,Angoulême,FC Rouen 1899,1 , 1
3,AS Red Star 93,FC Metz,3 , 1
3,Olympique de Marseille,Girondins de Bordeaux,3 , 1
3,RC Strasbourg,Valenciennes FC,4 , 2
3,Stade Rennais FC,AC Ajaccio,0 , 1
3,CS Sedan,Angers SCO,2 , 2
3,SC Bastia,FC Sochaux-Montbéliard,2 , 0
4,AS Saint-Etienne,Stade Rennais FC,8 , 2
4,Angers SCO,Olympique Lyonnais,3 , 2
4,Nîmes Olympique,AS Red Star 93,1 , 3
4,Valenciennes FC,Olympique de Marseille,0 , 2
4,AC Ajaccio,Angoulême,0 , 0
4,FC Rouen 1899,FC Nantes,1 , 0
4,FC Sochaux-Montbéliard,CS Sedan,1 , 0
4,Girondins de Bordeaux,SC Bastia,1 , 0
4,FC Metz,RC Strasbourg,2 , 2
5,Olympique de Marseille,AS Saint-Etienne,2 , 3
5,Olympique Lyonnais,FC Sochaux-Montbéliard,2 , 2
5,SC Bastia,Nîmes Olympique,2 , 5
5,Stade Rennais FC,FC Metz,2 , 0
5,Angers SCO,Valenciennes FC,0 , 1
