day,home_team,away_team,home_score,away_score
1,Stade de Reims,FC Sochaux-Montbéliard,4 , 1
1,AS Monaco FC,RC Paris,3 , 3
1,OGC Nice,RC Lens,3 , 0
1,RC Strasbourg,Nîmes Olympique,1 , 3
1,Stade Français,Stade Rennais FC,1 , 2
1,SC Toulon,CS Sedan,2 , 1
1,Limoges FC,Toulouse FC,2 , 1
1,Olympique Lyonnais,Girondins de Bordeaux,2 , 2
1,Havre AC,AS Saint-Etienne,0 , 0
1,Angers SCO,Valenciennes FC,1 , 2
2,Stade de Reims,Valenciennes FC,2 , 1
2,RC Lens,Limoges FC,0 , 0
2,RC Strasbourg,Stade Français,2 , 5
2,OGC Nice,FC Sochaux-Montbéliard,3 , 0
2,Nîmes Olympique,SC Toulon,4 , 1
2,RC Paris,Havre AC,9 , 0
2,Stade Rennais FC,Olympique Lyonnais,1 , 2
2,Toulouse FC,AS Monaco FC,1 , 1
2,Girondins de Bordeaux,Angers SCO,1 , 1
2,AS Saint-Etienne,CS Sedan,3 , 3
3,FC Sochaux-Montbéliard,AS Saint-Etienne,2 , 0
3,Stade Français,Toulouse FC,3 , 1
3,Olympique Lyonnais,OGC Nice,0 , 2
3,Limoges FC,Stade de Reims,2 , 2
3,Angers SCO,RC Paris,0 , 0
3,RC Lens,Nîmes Olympique,3 , 1
3,AS Monaco FC,RC Strasbourg,4 , 2
3,CS Sedan,Girondins de Bordeaux,2 , 3
3,SC Toulon,Stade Rennais FC,0 , 1
3,Havre AC,Valenciennes FC,3 , 2
4,FC Sochaux-Montbéliard,Limoges FC,0 , 0
4,Valenciennes FC,Stade Français,1 , 0
4,OGC Nice,CS Sedan,3 , 0
4,Stade de Reims,Toulouse FC,5 , 2
4,RC Paris,SC Toulon,7 , 1
4,Nîmes Olympique,AS Saint-Etienne,2 , 0
4,Stade Rennais FC,AS Monaco FC,1 , 2
4,Girondins de Bordeaux,RC Lens,2 , 3
4,Olympique Lyonnais,Havre AC,1 , 1
4,RC Strasbourg,Angers SCO,4 , 2
5,Limoges FC,Valenciennes FC,1 , 1
5,Angers SCO,OGC Nice,2 , 2
5,AS Monaco FC,Stade de Reims,2 , 2
5,CS Sedan,Nîmes Olympique,2 , 3
5,RC Lens,RC Paris,3 , 2
5,Stade Français,FC Sochaux-Montbéliard,2 , 1
5,Havre AC,Stade Rennais FC,4 , 2
5,SC Toulon,RC Strasbourg,1 , 4
5,AS Saint-Etienne,Girondins de Bordeaux,4 , 2
5,Toulouse FC,Olympique Lyonnais,1 , 0
6,RC Strasbourg,RC Lens,0 , 0
6,FC Sochaux-Montbéliard,Havre AC,0 , 0
6,Valenciennes FC,Olympique Lyonnais,1 , 4
6,Stade de Reims,Stade Rennais FC,2 , 1
6,Nîmes Olympique,AS Monaco FC,5 , 1
6,OGC Nice,RC Paris,2 , 5
6,Stade Français,Limoges FC,2 , 3
6,Girondins de Bordeaux,SC Toulon,2 , 1
6,AS Saint-Etienne,Toulouse FC,3 , 3
6,Angers SCO,CS Sedan,0 , 0
7,RC Lens,Stade de Reims,2 , 5
7,RC Paris,Nîmes Olympique,1 , 2
7,Limoges FC,Girondins de Bordeaux,3 , 0
7,Toulouse FC,OGC Nice,4 , 1
7,Havre AC,Stade Français,1 , 2
7,Olympique Lyonnais,Angers SCO,2 , 0
7,AS Monaco FC,AS Saint-Etienne,1 , 1
7,CS Sedan,RC Strasbourg,2 , 2
7,Stade Rennais FC,Valenciennes FC,2 , 1
7,SC Toulon,FC Sochaux-Montbéliard,2 , 2
8,FC Sochaux-Montbéliard,RC Lens,1 , 0
8,Havre AC,Nîmes Olympique,0 , 3
8,Stade de Reims,OGC Nice,2 , 2
8,Limoges FC,CS Sedan,2 , 2
8,Valenciennes FC,RC Paris,1 , 4
8,Girondins de Bordeaux,RC Strasbourg,0 , 1
8,Toulouse FC,Stade Rennais FC,1 , 2
8,AS Monaco FC,SC Toulon,1 , 3
8,AS Saint-Etienne,Angers SCO,1 , 1
8,Stade Français,Olympique Lyonnais,2 , 1
9,RC Strasbourg,Stade de Reims,1 , 3
9,RC Paris,Girondins de Bordeaux,6 , 1
9,RC Lens,Stade Français,3 , 2
9,Nîmes Olympique,Valenciennes FC,3 , 0
9,Stade Rennais FC,Limoges FC,0 , 2
9,OGC Nice,AS Saint-Etienne,2 , 0
9,Olympique Lyonnais,AS Monaco FC,0 , 4
9,SC Toulon,Toulouse FC,0 , 1
9,Angers SCO,Havre AC,4 , 2
9,CS Sedan,FC Sochaux-Montbéliard,2 , 1
10,Stade de Reims,Girondins de Bordeaux,8 , 2
10,Nîmes Olympique,OGC Nice,5 , 1
10,Limoges FC,RC Paris,1 , 0
10,Stade Français,SC Toulon,3 , 1
10,AS Monaco FC,Valenciennes FC,1 , 0
10,RC Lens,Angers SCO,4 , 2
10,FC Sochaux-Montbéliard,Olympique Lyonnais,1 , 3
10,Toulouse FC,Havre AC,2 , 1
10,AS Saint-Etienne,RC Strasbourg,7 , 3
10,Stade Rennais FC,CS Sedan,1 , 2
11,Angers SCO,Nîmes Olympique,0 , 0
11,Olympique Lyonnais,Limoges FC,1 , 0
11,OGC Nice,Stade Français,1 , 3
11,CS Sedan,RC Lens,2 , 2
11,Havre AC,AS Monaco FC,2 , 0
11,Valenciennes FC,Toulouse FC,5 , 3
11,RC Strasbourg,Stade Rennais FC,1 , 1
11,Girondins de Bordeaux,FC Sochaux-Montbéliard,6 , 4
11,RC Paris,AS Saint-Etienne,4 , 0
11,SC Toulon,Stade de Reims,1 , 1
12,Stade de Reims,CS Sedan,1 , 0
12,Limoges FC,Nîmes Olympique,2 , 1
12,Stade Français,RC Paris,3 , 3
12,Valenciennes FC,RC Lens,0 , 1
12,OGC Nice,AS Monaco FC,3 , 2
12,AS Saint-Etienne,Olympique Lyonnais,2 , 1
12,Toulouse FC,Girondins de Bordeaux,2 , 1
12,Havre AC,SC Toulon,2 , 0
12,Stade Rennais FC,Angers SCO,2 , 3
12,FC Sochaux-Montbéliard,RC Strasbourg,1 , 1
13,Nîmes Olympique,Stade Français,3 , 1
13,Olympique Lyonnais,Stade de Reims,0 , 1
13,AS Monaco FC,Limoges FC,0 , 0
13,RC Strasbourg,OGC Nice,1 , 4
13,RC Lens,AS Saint-Etienne,0 , 0
13,RC Paris,Stade Rennais FC,0 , 2
13,FC Sochaux-Montbéliard,Toulouse FC,0 , 2
13,CS Sedan,Havre AC,0 , 3
13,Angers SCO,SC Toulon,3 , 2
13,Girondins de Bordeaux,Valenciennes FC,3 , 7
14,Stade de Reims,Angers SCO,6 , 0
14,Toulouse FC,RC Paris,1 , 1
14,Valenciennes FC,RC Strasbourg,2 , 0
14,Olympique Lyonnais,Nîmes Olympique,1 , 2
14,Limoges FC,OGC Nice,2 , 1
14,Havre AC,RC Lens,3 , 1
14,AS Monaco FC,Girondins de Bordeaux,5 , 0
14,Stade Français,CS Sedan,1 , 5
14,SC Toulon,AS Saint-Etienne,0 , 1
14,Stade Rennais FC,FC Sochaux-Montbéliard,0 , 1
15,AS Saint-Etienne,Stade de Reims,2 , 5
15,Nîmes Olympique,Toulouse FC,2 , 2
15,Angers SCO,Limoges FC,1 , 0
15,RC Paris,Olympique Lyonnais,4 , 0
15,OGC Nice,SC Toulon,4 , 2
15,RC Lens,Stade Rennais FC,1 , 0
15,RC Strasbourg,Havre AC,1 , 2
15,Girondins de Bordeaux,Stade Français,3 , 3
15,FC Sochaux-Montbéliard,AS Monaco FC,1 , 0
15,CS Sedan,Valenciennes FC,2 , 2
16,Stade de Reims,Nîmes Olympique,1 , 2
16,Limoges FC,AS Saint-Etienne,2 , 1
16,RC Paris,RC Strasbourg,2 , 2
16,SC Toulon,RC Lens,1 , 1
16,Havre AC,OGC Nice,3 , 1
16,Toulouse FC,Angers SCO,5 , 1
16,AS Monaco FC,Stade Français,3 , 0
16,Olympique Lyonnais,CS Sedan,0 , 1
16,Valenciennes FC,FC Sochaux-Montbéliard,1 , 1
16,Stade Rennais FC,Girondins de Bordeaux,1 , 0
17,Nîmes Olympique,FC Sochaux-Montbéliard,2 , 1
17,Stade Français,Stade de Reims,0 , 3
17,SC Toulon,Limoges FC,3 , 1
17,CS Sedan,RC Paris,1 , 4
17,RC Lens,Toulouse FC,4 , 0
17,Girondins de Bordeaux,Havre AC,0 , 1
17,OGC Nice,Valenciennes FC,1 , 1
17,Angers SCO,AS Monaco FC,1 , 1
17,AS Saint-Etienne,Stade Rennais FC,2 , 1
17,RC Strasbourg,Olympique Lyonnais,2 , 1
18,Stade Rennais FC,Nîmes Olympique,1 , 1
18,Stade de Reims,RC Paris,0 , 0
18,Limoges FC,Havre AC,0 , 0
18,Olympique Lyonnais,RC Lens,0 , 1
18,Girondins de Bordeaux,OGC Nice,0 , 3
18,AS Monaco FC,CS Sedan,2 , 1
18,Toulouse FC,RC Strasbourg,2 , 1
18,Stade Français,AS Saint-Etienne,3 , 2
18,Valenciennes FC,SC Toulon,3 , 1
18,FC Sochaux-Montbéliard,Angers SCO,2 , 0
19,Nîmes Olympique,Girondins de Bordeaux,4 , 0
19,Havre AC,Stade de Reims,2 , 2
19,RC Strasbourg,Limoges FC,1 , 3
19,RC Paris,FC Sochaux-Montbéliard,8 , 0
19,OGC Nice,Stade Rennais FC,3 , 1
19,RC Lens,AS Monaco FC,1 , 2
19,CS Sedan,Toulouse FC,3 , 4
19,AS Saint-Etienne,Valenciennes FC,3 , 1
19,Angers SCO,Stade Français,3 , 0
19,SC Toulon,Olympique Lyonnais,1 , 1
20,Nîmes Olympique,RC Strasbourg,2 , 1
20,Stade Rennais FC,Stade de Reims,0 , 1
20,RC Paris,RC Lens,3 , 0
20,Valenciennes FC,Limoges FC,0 , 0
20,OGC Nice,Olympique Lyonnais,2 , 1
20,Toulouse FC,SC Toulon,3 , 0
20,AS Saint-Etienne,Havre AC,3 , 1
20,Girondins de Bordeaux,AS Monaco FC,4 , 2
20,FC Sochaux-Montbéliard,Stade Français,3 , 2
20,CS Sedan,Angers SCO,2 , 0
21,Limoges FC,SC Toulon,2 , 0
21,AS Monaco FC,Nîmes Olympique,0 , 1
21,Valenciennes FC,Stade de Reims,3 , 0
21,Havre AC,RC Paris,2 , 2
21,Stade Français,OGC Nice,2 , 3
21,Olympique Lyonnais,Toulouse FC,1 , 2
21,RC Lens,CS Sedan,1 , 1
21,RC Strasbourg,AS Saint-Etienne,3 , 0
21,Angers SCO,Girondins de Bordeaux,4 , 1
21,FC Sochaux-Montbéliard,Stade Rennais FC,2 , 2
22,Nîmes Olympique,Havre AC,4 , 1
22,Stade de Reims,Stade Français,4 , 0
22,RC Paris,Angers SCO,4 , 1
22,CS Sedan,Limoges FC,0 , 0
22,Toulouse FC,FC Sochaux-Montbéliard,3 , 0
22,Valenciennes FC,OGC Nice,4 , 3
22,SC Toulon,AS Monaco FC,0 , 3
