day,home_team,away_team,home_score,away_score
1,Montpellier Hérault SC,Toulouse FC,1 , 1
1,Evian TG FC,Girondins de Bordeaux,2 , 3
1,AS Nancy-Lorraine,Stade Brestois 29,1 , 0
1,OGC Nice,AC Ajaccio,0 , 1
1,Paris Saint-Germain,FC Lorient,2 , 2
1,Stade Rennais FC,Olympique Lyonnais,0 , 1
1,AS Saint-Etienne,LOSC Lille,1 , 2
1,FC Sochaux-Montbéliard,SC Bastia,2 , 3
1,ESTAC Troyes,Valenciennes FC,0 , 1
1,Stade de Reims,Olympique de Marseille,0 , 1
2,LOSC Lille,AS Nancy-Lorraine,1 , 1
2,Olympique Lyonnais,ESTAC Troyes,4 , 1
2,SC Bastia,Stade de Reims,2 , 1
2,Stade Brestois 29,Evian TG FC,1 , 0
2,FC Lorient,Montpellier Hérault SC,2 , 1
2,Toulouse FC,AS Saint-Etienne,2 , 1
2,Valenciennes FC,OGC Nice,0 , 0
2,Girondins de Bordeaux,Stade Rennais FC,1 , 0
2,Olympique de Marseille,FC Sochaux-Montbéliard,2 , 0
2,AC Ajaccio,Paris Saint-Germain,0 , 0
3,Evian TG FC,Olympique Lyonnais,1 , 1
3,OGC Nice,LOSC Lille,2 , 2
3,AS Nancy-Lorraine,Toulouse FC,0 , 1
3,Stade de Reims,FC Sochaux-Montbéliard,1 , 0
3,Stade Rennais FC,SC Bastia,3 , 2
3,ESTAC Troyes,FC Lorient,2 , 2
3,Valenciennes FC,AC Ajaccio,3 , 0
3,Montpellier Hérault SC,Olympique de Marseille,0 , 1
3,AS Saint-Etienne,Stade Brestois 29,4 , 0
3,Paris Saint-Germain,Girondins de Bordeaux,0 , 0
4,Olympique Lyonnais,Valenciennes FC,3 , 2
4,AC Ajaccio,Evian TG FC,2 , 0
4,SC Bastia,AS Saint-Etienne,0 , 3
4,Stade Brestois 29,ESTAC Troyes,2 , 1
4,FC Lorient,AS Nancy-Lorraine,3 , 0
4,FC Sochaux-Montbéliard,Montpellier Hérault SC,1 , 3
4,Toulouse FC,Stade de Reims,1 , 1
4,Girondins de Bordeaux,OGC Nice,1 , 1
4,Olympique de Marseille,Stade Rennais FC,3 , 1
4,LOSC Lille,Paris Saint-Germain,1 , 2
5,Paris Saint-Germain,Toulouse FC,2 , 0
5,Stade de Reims,Montpellier Hérault SC,3 , 1
5,ESTAC Troyes,LOSC Lille,1 , 1
5,Evian TG FC,SC Bastia,3 , 0
5,OGC Nice,Stade Brestois 29,4 , 2
5,AS Saint-Etienne,FC Sochaux-Montbéliard,0 , 1
5,Valenciennes FC,Girondins de Bordeaux,0 , 0
5,Stade Rennais FC,FC Lorient,1 , 2
5,Olympique Lyonnais,AC Ajaccio,2 , 0
5,AS Nancy-Lorraine,Olympique de Marseille,0 , 1
6,Montpellier Hérault SC,AS Saint-Etienne,1 , 1
6,SC Bastia,Paris Saint-Germain,0 , 4
6,Stade Brestois 29,Valenciennes FC,2 , 1
6,FC Lorient,OGC Nice,1 , 1
6,Stade de Reims,AS Nancy-Lorraine,2 , 0
6,FC Sochaux-Montbéliard,ESTAC Troyes,3 , 1
6,Toulouse FC,Stade Rennais FC,2 , 2
6,Girondins de Bordeaux,AC Ajaccio,2 , 2
6,Olympique de Marseille,Evian TG FC,1 , 0
6,LOSC Lille,Olympique Lyonnais,1 , 1
7,Stade Rennais FC,LOSC Lille,2 , 0
7,Paris Saint-Germain,FC Sochaux-Montbéliard,2 , 0
