	start	game_id	sqw_home_team_id	sqw_away_team_id	team_id	short_name	first_name	last_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
36	2015	9699	142	127	142	PSG	Thiago	Motta	0	92.3	45.0	57.0022948988	9.18095855562	1	1	1	0	0	0	0	0.0901024449316
37	2015	9699	142	127	142	PSG	Zlatan	Ibrahimovic	0	74.5	47.2	83.7338019015	25.6532648994	0	0	0	0	0	0	0	0.0363255148826
38	2015	9695	150	132	150	GFC Ajaccio	Issiar	Dia	0	85.3	77.9	152.216073588	31.5356940624	0	0	0	0	0	0	0	0.015201932642
39	2015	9695	150	132	150	GFC Ajaccio	Jacques	Zoua Daogari	0	74.4	38.9	66.5587464593	27.9028672362	0	0	0	0	0	0	1	0.0253472219704
40	2015	9695	150	132	150	GFC Ajaccio	Louis	Poggi	0	76.3	74.6	136.067499684	34.159186173	0	0	0	0	0	0	0	0.00993977967872
41	2015	9695	150	132	150	GFC Ajaccio	Jerome	Le Moigne	0	73.0	38.9	67.6518916521	29.1926360577	0	1	0	0	1	0	0	0.0207403817176
42	2015	9695	150	132	150	GFC Ajaccio	Khalid	Boutaib	0	79.9	49.9	89.7149487224	20.1002487547	0	0	0	0	0	0	0	0.0841705457583
43	2015	9695	150	132	150	GFC Ajaccio	Kader	Mangane	0	90.8	39.9	42.330110238	13.6619910701	1	1	1	0	0	0	0	0.0457236666574
44	2015	9695	150	132	150	GFC Ajaccio	Jacques	Zoua Daogari	0	89.3	38.4	42.6888685472	15.7813180692	0	1	0	0	0	0	0	0.150681652813
45	2015	9695	150	132	150	GFC Ajaccio	Kévin	Mayi	0	79.3	70.1	134.157475739	28.8530760925	0	0	0	0	0	0	0	0.0228691236208
46	2015	9695	150	132	150	GFC Ajaccio	Kader	Mangane	0	88.3	46.0	71.1254502418	12.3648695909	1	1	1	0	0	0	0	0.0567137956706
47	2015	9695	150	132	150	GFC Ajaccio	Jacques	Zoua Daogari	0	89.2	67.5	148.319486287	20.5642894358	0	1	0	0	0	0	0	0.0815922166689
48	2015	9695	150	132	150	GFC Ajaccio	David	Ducourtioux	0	69.9	40.7	72.8304148425	31.503968004	0	0	0	0	0	0	0	0.0144797742083
49	2015	9695	150	132	150	GFC Ajaccio	Mohamed Wael	Larbi	1	75.5	94.2	151.000456214	50.5360267532	0	0	0	0	0	0	0	0.000740590841655
50	2015	9695	150	132	150	GFC Ajaccio	Issiar	Dia	0	94.5	27.6	13.7952531771	23.0653419658	0	0	0	0	0	1	0	0.0515254829232
51	2015	9695	150	132	132	Rennes	Giovanni	Sio	0	79.7	58.5	112.719997281	22.0077259161	0	0	0	0	0	0	0	0.0644083092744
52	2015	9695	150	132	132	Rennes	Giovanni	Sio	0	62.0	25.8	57.5092994431	45.0515260563	0	0	0	0	0	0	0	0.00166664722723
53	2015	9695	150	132	132	Rennes	Giovanni	Sio	0	92.0	60.9	143.723380642	13.5207248326	1	1	1	0	0	0	0	0.0499165784331
54	2015	9695	150	132	132	Rennes	Romain	Danze	0	88.5	39.9	48.7084281571	15.3055545473	1	1	0	0	0	0	0	0.0638210071912
55	2015	9695	150	132	132	Rennes	Kamil	Grosicki	0	85.2	26.6	32.3124786261	27.687542325	0	0	0	0	0	0	0	0.0256179421418
56	2015	9695	150	132	132	Rennes	Pedro Filipe	Teodósio Mendes	0	87.7	35.4	40.1129901651	19.0905735901	0	1	0	0	0	0	0	0.0945147233725
57	2015	9695	150	132	132	Rennes	Giovanni	Sio	0	88.7	48.9	84.4400527367	11.3534135836	1	1	0	0	0	0	0	0.116107727451
58	2015	9695	150	132	132	Rennes	Giovanni	Sio	0	87.5	34.8	39.4327996474	19.6796849568	0	0	0	0	0	0	0	0.0867247560991
59	2015	9695	150	132	132	Rennes	Yacouba	Sylla	0	73.0	66.9	122.043516833	31.8529433491	0	0	0	0	0	0	0	0.0141693879616
60	2015	9695	150	132	132	Rennes	Romain	Danze	0	94.6	51.5	105.524110997	5.60446250768	1	1	1	0	0	0	0	0.153460496593
61	2015	9695	150	132	132	Rennes	Giovanni	Sio	1	91.6	49.1	83.8844964337	8.4480767042	0	0	0	0	0	0	0	0.37064588763
62	2015	9695	150	132	132	Rennes	Pedro	Henrique	0	75.1	66.7	123.849074831	29.9816610614	0	0	0	0	0	0	0	0.019035928145
63	2015	9695	150	132	132	Rennes	Abdoulaye	Doucouré	0	86.7	37.6	47.0056473714	18.1837839846	0	0	0	0	0	0	0	0.108117271987
64	2015	9695	150	132	132	Rennes	Pedro	Henrique	0	77.1	75.4	137.962975928	34.1989765929	0	0	0	0	0	0	0	0.00989014408044
65	2015	9695	150	132	132	Rennes	Kamil	Grosicki	0	74.3	73.2	132.073316007	34.6226804277	0	0	0	0	0	0	0	0.00921186017938
66	2015	9695	150	132	132	Rennes	Pedro	Henrique	0	86.7	55.2	111.354377365	14.2804061567	0	0	0	0	0	0	0	0.191179376971
67	2015	9696	134	126	126	Caen	Vincent	Bessat	0	80.7	79.3	146.626980982	35.0853245674	0	0	0	0	0	0	0	0.00864634789985
68	2015	9696	134	126	126	Caen	Andy	Delort	0	70.0	27.6	53.2525290471	37.44008547	0	0	0	0	0	0	0	0.00558428833501
69	2015	9696	134	126	126	Caen	Herve	Bazile	0	93.0	61.1	147.763213448	13.1228807813	0	0	0	0	0	1	0	0.225751565079
70	2015	9696	134	126	126	Caen	Julien	Féret	0	88.3	38.5	45.4939168986	16.405486887	0	0	0	0	0	0	0	0.138589292573
71	2015	9696	134	126	126	Caen	Andy	Delort	0	70.6	53.8	97.364746245	29.6445610526	0	0	0	0	0	0	0	0.0197138042407
72	2015	9696	134	126	126	Caen	Jeff	Louis	0	87.8	45.0	67.7144123532	13.1848397791	1	1	0	0	0	0	0	0.088355637434
73	2015	9696	134	126	126	Caen	Jordan	Adeoti	0	71.7	58.5	106.717816609	29.5489424515	0	0	0	0	0	0	0	0.020137434753
74	2015	9696	134	126	126	Caen	Herve	Bazile	0	85.3	55.2	109.480800228	15.5926264625	0	0	0	0	0	0	0	0.160664853254
75	2015	9696	134	126	126	Caen	Jeff	Louis	0	79.2	62.8	121.607502246	24.422940036	0	0	0	0	0	0	0	0.044972440865
76	2015	9696	134	126	126	Caen	Jeff	Louis	0	75.9	77.3	138.562454584	36.4156559738	0	0	0	0	0	0	0	0.00696408762524
77	2015	9696	134	126	126	Caen	Julien	Féret	0	77.4	41.1	68.5052163758	24.2892980549	0	0	0	0	0	0	0	0.0443289191792
78	2015	9696	134	126	126	Caen	Herve	Bazile	0	81.6	15.4	28.0036838713	39.1882635492	0	0	0	0	0	0	0	0.00415694099649
79	2015	9696	134	126	126	Caen	Vincent	Bessat	0	81.1	67.3	132.469236982	25.6222559506	0	0	0	0	0	0	0	0.0376937344754
80	2015	9696	134	126	126	Caen	Jordan	Adeoti	0	94.6	42.5	35.7538872544	9.24175308045	1	1	1	0	0	0	0	0.0881305968659
81	2015	9696	134	126	134	Lorient	Rafidine	Abdullah	0	74.1	19.5	40.3372606637	40.0132478062	0	0	0	0	0	0	0	0.0036763709975
82	2015	9696	134	126	134	Lorient	Majeed	Waris	1	90.1	40.5	46.1811889133	13.7207871494	0	1	1	0	0	0	1	0.118314344906
83	2015	9696	134	126	134	Lorient	Didier Ibrahim	Ndong	0	74.3	58.5	108.301080423	27.0691706559	0	1	1	0	0	0	1	0.0163283371842
84	2015	9696	134	126	134	Lorient	Yann	Jouffre	0	84.6	70.9	143.615648184	25.9609321867	0	0	0	0	0	0	0	0.0360442789959
85	2015	9696	134	126	134	Lorient	Majeed	Waris	0	86.1	56.6	115.399309571	15.3873324524	0	1	0	0	0	0	0	0.165697675166
86	2015	9696	134	126	134	Lorient	Benjamin	Moukandjo	1	97.0	50.7	103.134022306	3.08058436015	0	1	0	0	0	0	0	0.584498083116
87	2015	9696	134	126	134	Lorient	Didier Ibrahim	Ndong	0	77.9	40.3	66.3026557775	24.1350367723	0	1	1	0	0	0	0	0.0251248109107
88	2015	9696	134	126	134	Lorient	Majeed	Waris	0	91.1	47.0	71.3721368235	9.39201788755	1	1	0	0	0	0	0	0.151172692233
89	2015	9697	131	123	123	Bastia	Floyd	Ayité	0	79.9	77.9	144.229886244	34.386334495	0	0	0	0	0	0	0	0.00964227459399
90	2015	9697	131	123	123	Bastia	Francois	Kamano	0	85.7	80.7	155.02398827	33.8670931732	0	0	0	0	0	0	0	0.0105445120249
91	2015	9697	131	123	123	Bastia	Yannick	Cahuzac	0	89.8	65.4	146.481991355	18.4715998224	0	0	0	0	0	0	0	0.110284089198
92	2015	9697	131	123	123	Bastia	Mehdi	Mostefa	0	73.8	47.6	84.7661383528	26.3096940309	0	1	0	0	0	0	0	0.0328502094788
93	2015	9697	131	123	131	Lyon	Sergi	Darder	0	86.3	34.2	40.9281861057	20.9124364912	0	0	0	0	0	0	0	0.0724120465581
94	2015	9697	131	123	131	Lyon	Corentin	Tolisso	1	85.1	54.2	105.742039951	15.480633062	0	1	0	0	0	0	0	0.162742429388
95	2015	9697	131	123	131	Lyon	Sergi	Darder	0	91.9	30.9	22.98101265	20.7465659809	0	0	0	0	0	0	0	0.0733706066353
96	2015	9697	131	123	131	Lyon	Christophe	Jallet	0	78.8	29.3	45.6836880679	29.6298835637	0	1	1	0	0	0	0	0.0104520250424
97	2015	9697	131	123	131	Lyon	Maxwell	Cornet	0	88.9	74.0	155.179458665	26.4425792993	0	0	0	0	0	0	0	0.0337217107888
98	2015	9697	131	123	131	Lyon	Alexandre	Lacazette	0	82.2	71.3	140.115145131	27.7584221454	0	0	0	0	0	0	0	0.0272290501096
99	2015	9697	131	123	131	Lyon	Christophe	Jallet	0	88.9	32.7	32.6849815207	20.5548047911	0	1	0	0	0	0	0	0.0759468215917
100	2015	9697	131	123	131	Lyon	Alexandre	Lacazette	0	90.1	54.4	113.962488975	10.833743582	1	1	0	0	0	0	0	0.127134303057
101	2015	9697	131	123	131	Lyon	Aldo	Kalulu	1	95.6	63.0	161.301017196	13.7244307714	0	0	0	0	0	0	0	0.210939512931
102	2015	9697	131	123	131	Lyon	Steed	Malbranque	0	87.8	51.7	97.9327583142	12.317873193	1	0	0	0	0	0	0	0.102051086989
