start	short_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2014	Bastia	0	88.9	69.6	150.47597	22.52488	0	0	0	0	0	0	0
2014	Bastia	0	95.2	63.3	160.15537	14.13966	0	1	1	0	0	0	0
2014	Bastia	0	94.3	45	48.74299	7.58222	1	1	0	0	0	0	0
2014	Bastia	0	94.7	70.2	165.29833	20.88373	0	0	0	0	0	0	0
2014	Bastia	0	77.6	57.1	107.58676	23.4983	0	0	0	0	0	0	0
2014	Bastia	0	84	62.9	128.8775	20.55262	0	0	0	0	0	0	0
2014	Bastia	0	80	30.2	45.28792	28.14321	0	0	0	0	0	0	0
2014	Bastia	0	77.9	43.7	74.08885	22.98043	0	1	0	0	0	0	0
2014	Bastia	0	76.9	20.9	38.44305	37.154	0	0	0	0	0	0	0
2014	Bastia	0	91.6	64.5	149.91584	16.75739	1	1	1	0	0	0	0
2014	Bastia	0	73.9	50.5	91.09749	26.10479	0	1	0	0	0	0	0
2014	Bastia	0	87.6	42.1	57.49892	14.70272	1	0	0	0	0	0	0
2014	Bastia	0	91.5	49.7	87.97864	8.50529	0	1	0	0	0	0	0
2014	Bastia	0	69.7	49.5	89.05461	30.30413	0	0	0	0	0	0	0
2014	Bastia	0	93.1	47.5	70.08359	7.33894	1	1	0	0	0	0	0
2014	Bastia	0	85.7	34.4	42.51045	21.16247	0	0	0	0	0	0	0
2014	Bastia	0	74.8	55.5	102.31196	25.79322	0	0	0	0	0	0	0
2014	Bastia	0	95.4	46.4	51.95296	5.84123	1	1	0	0	0	0	0
2014	Bastia	0	80.9	51.1	93.29612	19.13165	0	1	0	0	0	0	0
2014	Bastia	0	94.8	35	19.11973	15.87577	0	0	0	0	0	0	0
2014	Bastia	0	82.6	46.8	79.57929	17.69181	0	0	0	0	0	0	0
2014	Bastia	0	91.3	55.5	122.30042	10.29272	1	1	1	0	0	0	0
2014	Bastia	0	97.6	26.2	5.75826	23.9207	0	1	0	0	0	0	0
2014	Bastia	0	84.3	20.2	27.78231	33.68278	0	0	0	0	0	0	0
2014	Bastia	1	93.7	55	128.4373	8.04301	0	0	0	0	0	0	1
2014	Bastia	0	76.4	41.5	70.19253	25.08406	0	1	0	0	0	0	0
2014	Bastia	0	75.9	35.7	59.31676	28.0232	0	0	0	0	0	0	0
2014	Bastia	0	85.9	62.5	131.55778	18.84304	0	1	0	0	0	0	0
2014	Bastia	0	80.1	39.8	62.86201	22.3618	0	0	1	0	0	0	0
2014	Bastia	0	73.5	55.5	101.72511	27.06474	0	1	1	0	0	0	0
2014	Bastia	1	92.7	51.3	100.0975	7.41485	0	0	1	0	0	0	0
2014	Bastia	1	92	34.5	27.29957	17.44276	0	1	0	0	0	0	0
2014	Bastia	0	70.7	45.2	80.6963	29.69057	0	0	0	0	0	0	1
2014	Bastia	0	97.3	45	28.36905	5.68243	1	1	1	0	0	0	0
2014	Bastia	0	90.2	45.6	65.82089	10.74244	1	1	0	0	0	0	0
2014	Bastia	0	75.2	22.8	42.35745	36.80869	0	0	0	0	0	0	0
2014	Bastia	0	94.7	46.6	57.31945	6.29682	1	1	0	0	0	0	0
2014	Bastia	1	95	60.7	154.9538	11.81059	0	1	0	0	0	0	1
2014	Bastia	0	88.2	57.2	121.39027	13.82317	0	0	0	0	0	0	0
2014	Bastia	0	93.1	29.8	18.85935	21.34596	0	1	0	0	0	0	0
2014	Bastia	0	79.5	58.2	111.80141	22.07918	0	0	0	0	0	0	0
2014	Bastia	0	92.9	47.6	71.3233	7.49466	0	1	0	0	0	0	0
2014	Bastia	0	80.5	62.7	123.07548	23.27101	0	0	0	0	0	0	0
2014	Bastia	0	93	50.7	95.71059	7.03491	1	1	0	0	0	0	0
2014	Bastia	0	83.3	20.4	29.43122	33.98603	0	0	0	0	0	0	0
2014	Bastia	0	92	34.5	27.29957	17.44276	0	0	0	0	0	0	0
2014	Bastia	0	91.2	46	65.55605	9.66644	1	1	1	0	0	0	0
2014	Bastia	0	80.4	36.3	55.04724	23.91339	0	0	0	0	0	0	0
2014	Bastia	0	73.9	42.6	74.17065	27.12877	0	0	0	0	0	0	0
2014	Bastia	0	84.6	38.6	53.48894	19.16038	0	0	0	0	0	0	0
2014	Bastia	1	93.9	37.1	25.30798	14.26955	0	0	0	0	0	0	0
2014	Bastia	0	89.6	53.3	107.60463	10.911	0	1	0	0	0	0	0
2014	Bastia	0	86.5	42.8	61.92751	15.3	0	0	0	0	0	0	0
2014	Bastia	0	76.5	56.3	105.00727	24.32982	0	1	1	0	0	0	1
2014	Bastia	0	79.7	56.7	108.26544	21.37709	0	1	0	0	0	0	0
2014	Bastia	0	86.1	34	40.98248	21.19457	0	0	0	0	0	0	0
2014	Bastia	0	86.6	62	131.84516	17.98777	0	1	0	0	0	0	0
2014	Bastia	0	87.2	50.7	93.13024	12.81913	0	1	0	0	0	0	0
2014	Bastia	0	73.8	57.3	105.56922	27.19798	0	0	0	0	0	0	0
2014	Bastia	1	85.2	54.6	107.26581	15.49839	0	0	0	0	0	0	0
2014	Bastia	0	93.4	38.3	29.42746	13.43317	0	1	1	0	0	0	0
2014	Bastia	0	95.7	46.7	52.49586	5.42033	0	0	0	0	0	0	0
2014	Bastia	0	98	47.8	42.27369	2.97321	0	1	1	0	0	0	0
2014	Bastia	0	95.7	74.4	170.00542	24.776	0	0	0	0	0	0	1
2014	Bastia	0	98	44.5	19.98311	5.85235	0	0	0	0	0	0	0
2014	Bastia	0	86.6	56.4	115.5297	14.84992	1	1	0	0	0	0	0
