kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2012-09-15	Stade du Hainaut	Valenciennes	Bordeaux	0 - 0	0	0	0	1	0	2	1598	1713	115	3.2	5.94934	6.7511
2012-09-15	Stade du Ray	Nice	Brest	4 - 2	4	2	1	0	0	1	1584	1567	17	9.5	14.5415	3.47729
2012-09-15	Parc des Sports, Annecy	Evian	Bastia	3 - 0	3	0	1	0	0	1	1572	1521	51	8.5	-11.43652	-9.50073
2012-09-16	Stade de la Route-de-Lorient	Rennes	Lorient	1 - 2	1	2	0	0	1	3	1625	1589	36	11	-3.69226	24.40845
2012-09-16	Stade de Gerland	Lyon	Ajaccio	2 - 0	2	0	1	0	0	1	1725	1561	164	5.6	7.97644	5.83972
2012-09-16	Stade Marcel Picot	Nancy	Marseille	0 - 1	0	1	0	0	1	3	1593	1708	115	6.8	-12.26147	26.76709
2012-09-21	Stade de la Mosson	Montpellier	St Etienne	1 - 1	1	1	0	1	0	2	1690	1616	74	2.1	-29.68762	7.46582
2012-09-22	Stade Armand-Cesari-Furiani	Bastia	PSG	0 - 4	0	4	0	0	1	3	1511	1763	252	3.8	-25.27075	24.05615
2012-09-22	Stade Francis-le Blé	Brest	Valenciennes	2 - 1	2	1	1	0	0	1	1556	1596	40	11.1	-13.65015	7.52905
2012-09-22	Stade Auguste Delaune II	Reims	Nancy	2 - 0	2	0	1	0	0	1	1524	1583	59	11.7	29.79468	-27.98511
2012-09-22	Stadium Municipal	Toulouse	Rennes	2 - 2	2	2	0	1	0	2	1633	1611	22	0.6	-0.58643	-12.82739
2012-09-22	Stade Bonal	Sochaux	Troyes	3 - 1	3	1	1	0	0	1	1554	1481	73	7.9	-3.19373	1.92639
2012-09-22	Stade du Moustoir	Lorient	Nice	1 - 1	1	1	0	1	0	2	1598	1590	8	0.2	23.16992	17.66687
2012-09-23	Stade Jacques Chaban-Delmas	Bordeaux	Ajaccio	2 - 2	2	2	0	1	0	2	1718	1555	163	4.4	9.95984	-0.82031
2012-09-23	Stade Vélodrome	Marseille	Evian	1 - 0	1	0	1	0	0	1	1715	1578	137	6.2	30.56177	3.59424
2012-09-23	Grand Stade Lille Métropole	Lille	Lyon	1 - 1	1	1	0	1	0	2	1733	1730	3	0.1	-27.49072	12.04163
2012-09-28	Stade de la Route-de-Lorient	Rennes	Lille	2 - 0	2	0	1	0	0	1	1614	1730	116	13.2	-11.79065	-27.01782
2012-09-29	Parc des Princes	PSG	Sochaux	2 - 0	2	0	1	0	0	1	1770	1561	209	4.6	37.21484	12.87292
2012-09-29	Stade Francois-Coty	Ajaccio	Brest	1 - 0	1	0	1	0	0	1	1561	1563	2	10.1	14.44006	6.16101
2012-09-29	Stade de l'Aube	Troyes	Toulouse	0 - 2	0	2	0	0	1	3	1475	1631	156	5.8	-2.56592	-11.00244
2012-09-29	Stade du Ray	Nice	Bastia	2 - 2	2	2	0	1	0	2	1592	1503	89	2.5	19.40015	-26.71399
2012-09-29	Parc des Sports, Annecy	Evian	Lorient	1 - 1	1	1	0	1	0	2	1575	1595	20	0.6	-1.47473	23.28589
2012-09-29	Stade Marcel Picot	Nancy	Montpellier	0 - 2	0	2	0	0	1	3	1572	1690	118	6.7	-26.57056	-15.57056
2012-09-30	Stade du Hainaut	Valenciennes	Marseille	4 - 1	4	1	1	0	0	1	1589	1718	129	13.6	-6.73242	21.03711
2012-09-30	Stade Geoffroy-Guichard	St Etienne	Reims	0 - 0	0	0	0	1	0	2	1626	1535	91	2.6	8.448	35.27087
2012-09-30	Stade de Gerland	Lyon	Bordeaux	0 - 2	0	2	0	0	1	3	1732	1712	20	10.6	15.96155	1.75671
2012-10-05	Stade Geoffroy-Guichard	St Etienne	Nancy	4 - 0	4	0	1	0	0	1	1619	1561	58	8.3	-16.48633	-31.83252
2012-10-06	Stade de la Mosson	Montpellier	Evian	2 - 3	2	3	0	0	1	3	1703	1571	132	13.6	-16.74573	-1.37476
2012-10-06	Stade Armand-Cesari-Furiani	Bastia	Troyes	3 - 2	3	2	1	0	0	1	1505	1463	42	8.8	-15.95935	-14.75037
2012-10-06	Stade Auguste Delaune II	Reims	Nice	3 - 1	3	1	1	0	0	1	1537	1585	48	11.4	26.56482	1.56726
2012-10-06	Stade Bonal	Sochaux	Rennes	0 - 1	0	1	0	0	1	3	1555	1624	69	8	11.18787	-0.33215
2012-10-06	Grand Stade Lille Métropole	Lille	Ajaccio	2 - 0	2	0	1	0	0	1	1710	1565	145	6.1	-51.82581	3.81458
2012-10-06	Stadium Municipal	Toulouse	Valenciennes	2 - 2	2	2	0	1	0	2	1637	1603	34	1	-3.74329	5.58447
2012-10-07	Stade Francis-le Blé	Brest	Bordeaux	1 - 1	1	1	0	1	0	2	1555	1715	160	4.3	-11.87366	2.37817
2012-10-07	Stade du Moustoir	Lorient	Lyon	1 - 1	1	1	0	1	0	2	1595	1718	123	3.4	5.99426	-6.10059
2012-10-07	Stade Vélodrome	Marseille	PSG	2 - 2	2	2	0	1	0	2	1703	1767	64	1.8	-5.6897	18.01038
2012-10-19	Stade Jacques Chaban-Delmas	Bordeaux	Lille	1 - 1	1	1	0	1	0	2	1713	1714	1	0	1.03906	-42.1792
2012-10-20	Parc des Princes	PSG	Reims	1 - 0	1	0	1	0	0	1	1768	1547	221	4.4	1.91614	19.73254
2012-10-20	Stade de la Route-de-Lorient	Rennes	Montpellier	2 - 1	2	1	1	0	0	1	1633	1690	57	11.6	18.10046	-7.95068
2012-10-20	Stade du Ray	Nice	St Etienne	1 - 1	1	1	0	1	0	2	1575	1628	53	1.5	-17.98523	3.5387
2012-10-20	Stade du Hainaut	Valenciennes	Lorient	6 - 1	6	1	1	0	0	1	1606	1596	10	9.7	6.7605	-5.15295
2012-10-20	Parc des Sports, Annecy	Evian	Toulouse	0 - 4	0	4	0	0	1	3	1584	1634	50	8.6	2.51575	-2.75696
2012-10-20	Stade Marcel Picot	Nancy	Sochaux	1 - 1	1	1	0	1	0	2	1550	1547	3	0.1	-36.04773	-10.58521
2012-10-21	Stade Francois-Coty	Ajaccio	Bastia	0 - 0	0	0	0	1	0	2	1561	1510	51	1.5	10.422	4.42627
2012-10-21	Stade de Gerland	Lyon	Brest	1 - 0	1	0	1	0	0	1	1717	1557	160	5.7	-4.11084	5.75964
