start	name	team_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2015	Alexis Peuget	Reims	0	78.6	71.4	135.0	30.264170234784242	0	0	0	0	0	0	0
2015	Alexis Peuget	Reims	0	77.9	21.9	38.18423166605107	35.749405589464004	0	0	0	0	0	0	0
2015	Amos Youga	GFC Ajaccio	0	64.7	35.5	67.66886360728678	38.16202300717298	0	0	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	93.8	41.7	36.759288170292145	10.360019305001318	0	1	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	83.1	20.3	29.64089633032459	34.1716256563834	0	0	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	77.8	56.1	105.36425338919355	23.022814771439226	0	1	1	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	84.8	34.8	45.0	21.49604614807105	0	1	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	89.8	55.8	119.62374875117379	11.733712115098104	1	0	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	80.6	49.1	87.3438527960429	19.420865068271297	1	1	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	90.0	53.0	106.69924423399362	10.44030650891055	0	1	1	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	93.8	28.7	16.229211682388023	22.18400324558217	0	0	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	85.9	36.4	46.034107544883426	19.59004849406963	0	0	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	81.9	30.7	43.162263209612135	26.45940286552211	0	0	0	0	0	0	0
2015	Andre Biyogo Poko	Bordeaux	0	92.0	52.6	108.0041616059134	8.411896337925237	1	1	1	0	0	0	0
2015	Andy Delort	Caen	0	88.1	61.5	134.0206803456605	16.54871596227333	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	76.5	26.8	45.368062043128496	33.022568040659706	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	80.8	79.6	147.03059609653786	35.28172331391991	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	77.0	71.0	132.3974377975002	31.144823004794873	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	69.7	61.0	109.95273505402476	32.23491895445062	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	85.9	29.1	34.00522265070786	25.211505310076188	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	73.6	29.9	52.71567356354848	33.180867981413634	0	0	0	0	0	0	0
2015	Andy Delort	Caen	1	78.4	67.7	129.33271432176088	27.92579452764057	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	86.6	56.6	116.22196677755446	14.937201879870278	1	1	1	0	0	0	0
2015	Andy Delort	Caen	0	87.0	69.9	146.84476668961616	23.769938998659637	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	96.3	53.9	136.50743575877496	5.375872022286246	1	1	1	0	0	0	1
2015	Andy Delort	Caen	0	91.4	43.9	54.65183346680422	10.543718509140877	1	1	0	0	0	0	0
2015	Andy Delort	Caen	1	90.9	68.5	153.80780112703462	20.61698329048166	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	72.2	28.9	52.801763372385246	34.90057306119772	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	86.0	55.0	109.6538240580533	14.866068747318506	0	0	0	0	0	0	0
2015	Andy Delort	Caen	0	72.1	40.3	70.82895746552029	29.538110975483864	0	0	0	0	0	0	0
2015	Ángel Di María	PSG	0	86.7	25.0	28.01297742306717	28.317662332897463	0	0	0	0	0	0	0
2015	Anthony Martial	Monaco	0	97.4	48.3	56.821488340607154	3.1064449134018104	1	1	0	0	0	0	1
2015	Anthony Mounier	Montpellier	0	74.9	49.3	88.40252380275437	25.109759058979435	0	0	0	0	0	0	0
2015	Anthony Mounier	Montpellier	0	90.1	42.1	51.41084002023247	12.66570171763097	0	1	0	0	0	0	0
2015	Antoine Devaux	Reims	0	90.2	51.3	97.55634405643944	9.885848471426211	0	1	1	0	0	0	0
2015	Antoine Devaux	Reims	0	86.4	70.1	145.9170532864904	24.268704126920323	0	0	0	0	0	0	0
2015	Arnold Mvuemba	Lyon	0	69.1	44.0	79.01134890350603	31.477134558278973	0	0	0	0	0	0	0
