start	game_id	sqw_home_team_id	sqw_away_team_id	team_id	short_name	first_name	last_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2015	10656	129	135	129	Lille	Rio	Mavuba	0	76.2	47.2	83.29016319224307	23.964139876073162	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Éric	Bautheac	0	91.6	55.5	123.2152514937372	10.040418317978594	1	1	0	0	0	0	0
2015	10656	129	135	129	Lille	Renato	Civelli	0	89.6	49.7	88.34769532234871	10.404326023342412	1	1	1	0	0	0	0
2015	10656	129	135	129	Lille	Stoppila	Sunzu	0	71.4	30.9	56.2637262102363	34.391423349434085	0	1	0	0	0	0	1
2015	10656	129	135	129	Lille	Djibril	Sidibe	0	87.2	74.2	152.12448961347252	27.376632371422165	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Djibril	Sidibe	0	95.0	71.6	166.96664367408616	22.171152428324508	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Djibril	Sidibe	0	81.2	40.9	64.17104253447971	20.88659857420542	0	1	1	0	0	0	0
2015	10656	129	135	129	Lille	Djibril	Sidibe	0	80.7	69.7	135.58762841623997	27.578614903580636	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Lenny	Nangis	0	84.6	40.1	57.26477372789242	18.307648674802564	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Junior	Tallo	0	89.8	56.8	123.69006752597979	12.258874336577565	1	1	1	0	0	0	0
2015	10656	129	135	129	Lille	Lenny	Nangis	0	71.9	28.6	52.7083403608658	35.32095695192869	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Lenny	Nangis	0	87.0	34.4	39.80557109226519	20.306649157357302	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Sofiane	Boufal	0	86.6	61.1	129.6369305799533	17.40028735394908	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Sofiane	Boufal	0	81.4	51.1	93.38451795230976	18.632498490540655	0	0	0	0	0	0	0
2015	10656	129	135	129	Lille	Benjamin	Pavard	0	69.3	46.6	83.68029297953586	30.887699817241167	0	0	0	0	0	0	0
