start	game_id	sqw_home_team_id	sqw_away_team_id	team_id	short_name	first_name	last_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2015	8718	129	142	129	Lille	Sofiane	Boufal	0	90.2	39.3	42.486189763822246	14.509651959988565	0	1	0	0	0	0	0
2015	8718	129	142	129	Lille	Benjamin	Pavard	0	84.9	52.6	99.76970005053126	15.322206107476816	0	1	0	0	0	0	0
2015	8718	129	142	129	Lille	Sofiane	Boufal	0	82.2	48.1	83.90722834266394	17.901117283566407	0	1	0	0	0	0	0
2015	8718	129	142	129	Lille	Éric	Bautheac	0	75.8	36.2	60.30613897408988	27.85821243367923	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Sehrou	Guirassy	0	83.1	47.6	81.91736721204417	17.069563556224868	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Florent	Balmont	0	70.0	54.4	98.3438915840331	30.32094985319556	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Sébastien	Corchia	0	70.2	58.7	106.27496975875515	31.04400103079498	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Sébastien	Corchia	0	72.8	68.5	124.22146339732627	32.89513641862578	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Ryan	Mendes da Graça	0	77.4	23.9	40.88930116434742	34.52491853719571	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Sehrou	Guirassy	0	96.7	41.3	20.77225468204581	9.304837451562495	0	1	0	0	0	0	0
2015	8718	129	142	129	Lille	Florent	Balmont	0	67.7	51.9	93.3664606634298	32.35583409526016	0	0	0	0	0	0	0
2015	8718	129	142	129	Lille	Mounir	Obbadi	0	73.2	35.2	61.090816348852165	30.61502898904392	0	1	0	0	0	0	0
2015	8718	129	142	142	PSG	Lucas	Rodrigues Moura da Silva	0	84.5	39.9	56.91121543197159	18.500270268296084	0	0	0	0	0	0	0
2015	8718	129	142	142	PSG	Lucas	Rodrigues Moura da Silva	1	90.3	40.4	45.2968666673247	13.647344063956183	0	0	0	0	0	0	0
2015	8718	129	142	142	PSG	Edinson	Cavani	0	92.8	54.8	123.69006752597976	8.653323061113575	0	1	0	0	0	0	0
2015	8718	129	142	142	PSG	Javier	Pastore	0	90.3	68.2	151.94385527120903	20.623530250662718	0	0	0	0	0	0	0
2015	8718	129	142	142	PSG	Edinson	Cavani	0	85.3	47.4	79.96978668026716	14.928161306738351	0	0	0	0	0	0	0
2015	8718	129	142	142	PSG	Adrien	Rabiot	0	90.2	41.7	49.73744334801011	12.842507543311	1	1	1	0	0	0	0
2015	8718	129	142	142	PSG	Edinson	Cavani	0	74.9	60.3	112.3112147409588	27.131162894354524	0	0	0	0	0	0	0
2015	8719	123	132	123	Bastia	Floyd	Ayité	0	76.7	68.3	128.1463648283498	29.62735222729159	0	0	0	0	0	0	0
2015	8719	123	132	123	Bastia	Seko	Fofana	0	75.5	57.3	106.59190869167986	25.564428411368795	0	0	0	0	0	0	0
2015	8719	123	132	123	Bastia	Evaeverson	Lemos da Silva	0	93.0	36.7	27.75854060106003	15.02963738750872	0	0	0	0	1	0	0
2015	8719	123	132	123	Bastia	Christopher	Maboulou	0	94.3	66.0	160.39155872810971	16.984993376507393	1	1	0	0	0	0	0
2015	8719	123	132	123	Bastia	Francois	Kamano	0	79.6	68.7	132.51044707800085	27.673995013369506	0	0	0	0	0	0	0
2015	8719	123	132	123	Bastia	Seko	Fofana	0	72.1	57.0	104.0845535572479	28.76473535424931	0	0	0	0	0	0	0
2015	8719	123	132	123	Bastia	Francois	Kamano	1	94.3	41.5	33.84534026107172	10.234256201600585	0	1	1	0	0	0	0
2015	8719	123	132	123	Bastia	Francois	Kamano	0	94.9	68.1	164.26386459854106	18.804786624686805	0	0	1	0	0	0	0
2015	8719	123	132	123	Bastia	Seko	Fofana	0	71.3	43.4	77.04913156775136	29.449108645254448	0	0	0	0	0	0	0
2015	8719	123	132	123	Bastia	Floyd	Ayité	1	94.9	35.3	19.133643205905457	15.559562975867928	0	1	0	0	0	0	0
2015	8719	123	132	123	Bastia	Evaeverson	Lemos da Silva	0	91.8	57.9	133.9325003162598	11.386395390991831	0	1	0	0	0	0	0
2015	8719	123	132	132	Rennes	Pedro	Henrique	0	89.0	45.0	65.55604521958347	12.083045973594572	0	1	0	0	0	0	1
2015	8719	123	132	132	Rennes	Ola	Toivonen	0	76.7	50.9	92.21204200204835	23.317375495539796	0	0	0	0	0	0	0
2015	8719	123	132	132	Rennes	Ola	Toivonen	0	79.3	57.0	108.68369883535044	21.851544567833187	0	0	0	0	0	0	0
2015	8719	123	132	132	Rennes	Giovanni	Sio	1	95.7	46.8	53.34389158403305	5.360037313302959	1	1	0	0	0	0	0
2015	8719	123	132	132	Rennes	Pedro	Henrique	0	70.2	40.5	72.31813736508431	31.277627787285912	0	0	0	0	0	0	0
2015	8719	123	132	132	Rennes	Pedro	Henrique	0	79.9	57.5	110.46227152342222	21.453671014537342	0	1	0	0	0	0	0
2015	8720	124	126	126	Caen	Vincent	Bessat	0	87.7	28.0	29.209158813451733	25.204959829366917	0	1	0	0	0	0	0
2015	8720	124	126	126	Caen	Andy	Delort	0	87.0	69.9	146.84476668961616	23.769938998659637	0	0	0	0	0	0	0
2015	8720	124	126	126	Caen	Andy	Delort	0	88.1	61.5	134.0206803456605	16.54871596227333	0	0	0	0	0	0	0
2015	8720	124	126	126	Caen	Andy	Delort	0	86.6	56.6	116.22196677755446	14.937201879870278	1	1	1	0	0	0	0
2015	8720	124	126	126	Caen	Vincent	Bessat	0	87.9	40.5	51.863691914627026	15.383757668398182	0	1	0	0	0	0	0
2015	8720	124	126	126	Caen	Jordan	Adeoti	0	76.7	63.8	120.63718501118736	27.08006646963777	0	1	1	0	0	0	1
2015	8720	124	126	126	Caen	Andy	Delort	1	78.4	67.7	129.33271432176088	27.92579452764057	0	0	0	0	0	0	0
2015	8720	124	126	126	Caen	Andy	Delort	0	73.6	29.9	52.71567356354848	33.180867981413634	0	0	0	0	0	0	0
2015	8720	124	126	124	Marseille	Bouna	Sarr	0	86.4	38.2	49.053554231831406	18.005554698481237	0	0	0	0	0	0	0
2015	8720	124	126	124	Marseille	Georges-Kévin	Nkoudou Mbida	0	91.9	34.0	26.85081329395451	17.933488227336028	0	1	0	0	0	0	0
2015	8720	124	126	124	Marseille	Georges-Kévin	Nkoudou Mbida	0	87.7	31.5	33.61853725164018	22.215760171553885	0	0	0	0	0	0	0
2015	8720	124	126	124	Marseille	Abdel	Barrada	0	81.9	53.6	101.24904431467434	18.454538737123716	0	0	0	0	0	0	0
2015	8720	124	126	124	Marseille	Stephane	Sparagna	0	90.8	58.1	131.36181342213536	12.257650672131266	1	0	0	0	0	0	0
