goal	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
0	142.65065	14.3405	0	1	0	0	0	0	0
0	149.23728	19.55096	0	1	0	0	0	0	0
0	90.44761	12.80039	0	0	0	0	0	0	0
0	116.56505	24.59675	0	0	0	0	0	0	0
0	138.01279	16.14435	1	1	0	0	0	0	0
0	160.57158	27.35781	0	0	0	0	0	0	0
1	115.13741	14.36001	0	0	0	0	0	0	0
0	58.90778	30.59542	0	0	0	0	0	0	1
0	83.55324	17.81264	0	0	0	0	0	0	0
0	101.17986	34.55575	0	0	0	0	0	0	0
0	61.03832	29.94478	0	0	0	0	1	0	0
0	110.08198	29.70606	0	0	0	0	0	0	0
0	92.16108	10.60754	1	1	0	0	0	0	0
0	46.61354	10.0449	1	1	1	0	0	0	0
1	47.25457	8.98721	0	1	1	0	0	0	0
0	102.50675	28.16842	0	0	0	0	0	0	0
0	81.7142	10.40865	1	1	1	0	0	0	0
1	146.64597	9.4578	1	1	1	0	0	0	0
0	145.08548	18.17058	0	0	0	0	0	0	0
0	36.00075	15.82182	0	0	0	0	0	0	0
0	23.49857	17.55591	0	0	0	0	0	0	0
0	110.95578	10.06578	0	0	0	0	0	0	0
0	113.87263	32.36928	0	0	0	0	0	0	0
0	68.80963	29.60152	0	1	1	0	0	0	0
0	129.24174	33.82898	0	0	0	0	0	0	0
0	96.74558	28.09448	0	0	0	0	0	0	0
0	130.07289	16.46572	0	0	0	0	0	0	0
0	124.47922	30.20629	0	0	0	0	0	0	0
0	128.56683	38.49688	0	0	0	0	0	0	0
0	112.66886	26.98463	0	0	0	0	0	0	0
0	76.95436	16.83449	0	0	0	0	0	0	0
1	87.83074	13.20947	0	0	0	0	0	0	0
0	54.87784	14.42671	0	1	1	0	0	0	0
0	78.11134	15.53319	0	0	0	0	0	0	0
0	37.1936	17.70028	0	0	0	0	0	0	0
0	21.58634	24.73479	0	1	0	0	0	0	0
0	99.71057	18.97182	0	0	0	0	0	0	0
0	115.83454	24.55402	0	0	0	0	0	0	0
0	116.07536	10.46518	1	1	1	0	0	0	0
0	89.6243	30.50066	0	0	0	0	0	0	0
0	36.43086	20.88061	0	0	0	0	0	0	0
0	46.5882	38.26918	0	0	0	0	0	0	0
0	160.10774	16.16447	0	1	0	0	0	0	0
0	44.51445	33.37664	0	1	1	0	0	0	0
1	67.5057	24.56929	0	0	0	0	0	0	0
0	109.91364	28.18528	0	0	0	0	0	0	0
0	67.07613	24.6465	0	0	0	0	0	0	0
0	45.99635	32.53183	0	0	0	0	0	0	0
0	46.5363	18.46212	0	0	0	0	0	0	0
0	91.25905	18.2044	0	0	0	0	1	0	0
0	59.62087	6.72309	1	0	0	0	0	0	0
1	124.02776	14.11737	0	0	0	0	0	0	0
0	83.08877	33.24154	0	0	0	0	0	0	0
0	88.40252	25.10976	0	0	0	0	0	0	0
0	46.78991	27.16616	0	0	0	0	0	0	0
0	85.77918	27.1737	0	0	0	0	0	0	0
0	115.46335	13.95564	0	0	0	0	0	0	1
0	154.52357	18.83109	0	0	0	0	0	0	0
0	52.46519	10.3407	1	1	1	0	0	0	0
1	117.97158	20.04121	0	0	0	0	0	0	0
0	106.55036	22.11628	0	0	0	0	0	0	0
0	118.46018	24.34173	0	1	1	0	0	0	1
0	20.23611	25.15253	0	0	0	0	0	0	0
0	49.85517	36.76003	0	0	0	0	0	0	0
0	102.76685	33.93906	0	0	0	0	0	0	0
0	134.1449	14.21443	1	1	1	0	0	0	0
0	53.70737	15.88081	0	1	0	0	0	0	0
0	83.58121	8.05047	1	1	1	0	0	0	0
0	41.59356	23.80084	0	0	0	0	0	0	0
0	67.63488	20.76174	0	1	0	0	0	0	0
0	89.2361	7.50067	1	1	0	0	0	0	0
0	114.72116	22.23803	0	0	0	0	0	0	0
0	149.40002	21.60926	0	0	0	0	0	0	0
0	46.39718	14.5	0	1	1	0	0	0	0
0	28.65712	19.60102	0	0	0	0	0	0	0
0	122.8404	13.09236	1	1	0	0	0	0	0
0	163.11321	11.7047	0	0	1	0	0	0	0
1	58.58813	15.34959	0	0	0	0	0	1	0
0	122.98585	31.59256	0	0	0	0	0	0	1
0	82.87498	19.34942	0	0	0	0	0	0	0
0	129.8389	22.00954	0	1	0	0	0	0	0
0	85.21747	25.1877	0	0	0	0	0	0	0
0	132.10873	7.00928	1	1	0	0	0	0	0
0	100.70769	27.98732	0	0	0	0	0	0	0
0	76.96664	22.17115	0	1	0	0	0	0	0
0	22.76726	20.93084	0	0	0	0	1	0	0
0	143.97263	9.52103	0	1	0	0	0	0	0
0	50.24305	30.1783	0	1	0	0	0	0	0
0	49.14462	14.67549	0	1	0	0	0	0	0
0	74.74488	9.1214	1	1	1	0	0	0	0
0	87.46457	27.12656	0	0	0	0	0	0	0
0	137.13095	30.42663	0	0	0	0	0	0	0
0	23.96249	14.77329	1	0	0	0	0	0	0
0	51.19788	31.43788	0	0	0	0	0	0	0
1	17.63446	15.84456	0	0	0	0	0	0	0
0	100.89689	19.04337	0	0	0	0	0	0	0
0	100.18132	24.89197	0	1	1	0	0	0	0
0	101.80243	13.68941	1	0	0	0	0	0	0
0	43.3562	32.04512	0	1	0	0	0	0	0
1	107.70043	4.93356	0	0	0	0	0	0	0
0	38.41806	33.31216	0	1	1	0	0	0	0
0	123.51574	27.34685	0	0	0	0	0	0	0
0	35.36246	19.00658	0	0	0	0	0	0	0
0	49.91657	13.20076	0	0	0	0	0	0	0
0	117.64598	9.48262	0	0	0	0	0	0	0
0	150.62858	22.83528	0	0	0	0	0	0	1
0	15.0428	16.56774	0	0	0	0	0	0	0
0	141.53549	36.65419	0	0	0	0	0	0	0
1	75.14139	10.13903	0	1	0	0	0	0	0
