day,home_team,away_team,home_score,away_score
1,Olympique de Marseille,Stade Brestois 29,3 , 0
1,Girondins de Bordeaux,RC Strasbourg,1 , 3
1,Stade Lavallois,FC Nantes,0 , 2
1,LOSC Lille,AS Nancy-Lorraine,2 , 0
1,FC Sochaux-Montbéliard,AS Monaco FC,1 , 2
1,FC Metz,RC Lens,2 , 1
1,OGC Nice,Nîmes Olympique,1 , 2
1,Valenciennes FC,Angers SCO,2 , 1
1,SC Bastia,AS Saint-Etienne,0 , 1
1,Olympique Lyonnais,Paris Saint-Germain,1 , 1
2,RC Lens,FC Nantes,1 , 3
2,RC Strasbourg,FC Metz,3 , 2
2,Nîmes Olympique,SC Bastia,2 , 0
2,AS Monaco FC,Stade Lavallois,2 , 1
2,Valenciennes FC,OGC Nice,1 , 0
2,AS Saint-Etienne,LOSC Lille,0 , 0
2,Paris Saint-Germain,Olympique de Marseille,2 , 1
2,Angers SCO,Girondins de Bordeaux,3 , 0
2,Stade Brestois 29,FC Sochaux-Montbéliard,1 , 2
2,AS Nancy-Lorraine,Olympique Lyonnais,1 , 0
3,LOSC Lille,Nîmes Olympique,4 , 0
3,FC Nantes,AS Monaco FC,0 , 0
3,Olympique de Marseille,AS Saint-Etienne,3 , 5
3,SC Bastia,RC Strasbourg,2 , 1
3,FC Metz,AS Nancy-Lorraine,2 , 1
3,FC Sochaux-Montbéliard,Paris Saint-Germain,1 , 0
3,Girondins de Bordeaux,Valenciennes FC,7 , 0
3,OGC Nice,Angers SCO,0 , 0
3,Stade Lavallois,Stade Brestois 29,3 , 0
3,Olympique Lyonnais,RC Lens,1 , 1
4,AS Saint-Etienne,FC Metz,2 , 1
4,Stade Brestois 29,AS Monaco FC,1 , 2
4,Valenciennes FC,LOSC Lille,0 , 0
4,RC Strasbourg,FC Nantes,2 , 2
4,Nîmes Olympique,Girondins de Bordeaux,2 , 0
4,Angers SCO,SC Bastia,3 , 1
4,Paris Saint-Germain,Stade Lavallois,3 , 1
4,AS Nancy-Lorraine,Olympique de Marseille,5 , 0
4,RC Lens,FC Sochaux-Montbéliard,2 , 0
4,OGC Nice,Olympique Lyonnais,3 , 1
5,Stade Lavallois,AS Saint-Etienne,2 , 3
5,FC Nantes,Stade Brestois 29,3 , 0
5,AS Monaco FC,Paris Saint-Germain,2 , 2
5,LOSC Lille,Angers SCO,0 , 0
5,Olympique Lyonnais,RC Strasbourg,0 , 2
5,FC Metz,Nîmes Olympique,0 , 0
5,FC Sochaux-Montbéliard,AS Nancy-Lorraine,5 , 1
5,SC Bastia,Valenciennes FC,2 , 1
5,Girondins de Bordeaux,OGC Nice,3 , 1
5,Olympique de Marseille,RC Lens,3 , 1
6,AS Saint-Etienne,FC Sochaux-Montbéliard,2 , 1
6,Girondins de Bordeaux,FC Nantes,1 , 3
6,RC Lens,AS Monaco FC,0 , 3
6,RC Strasbourg,LOSC Lille,3 , 2
6,Nîmes Olympique,Olympique Lyonnais,3 , 2
6,Angers SCO,Olympique de Marseille,3 , 1
6,Paris Saint-Germain,Stade Brestois 29,0 , 0
6,AS Nancy-Lorraine,Stade Lavallois,2 , 1
6,Valenciennes FC,FC Metz,2 , 2
6,OGC Nice,SC Bastia,2 , 1
7,Stade Brestois 29,AS Saint-Etienne,0 , 2
7,FC Nantes,Paris Saint-Germain,4 , 2
7,AS Monaco FC,AS Nancy-Lorraine,3 , 0
7,Olympique de Marseille,Nîmes Olympique,0 , 1
7,FC Metz,Angers SCO,0 , 1
7,FC Sochaux-Montbéliard,RC Strasbourg,1 , 1
7,LOSC Lille,OGC Nice,4 , 3
7,SC Bastia,Girondins de Bordeaux,2 , 1
7,Olympique Lyonnais,Valenciennes FC,3 , 1
7,Stade Lavallois,RC Lens,0 , 0
8,AS Saint-Etienne,FC Nantes,4 , 2
8,Nîmes Olympique,AS Monaco FC,1 , 1
8,Angers SCO,Olympique Lyonnais,1 , 1
8,Girondins de Bordeaux,LOSC Lille,1 , 1
8,RC Strasbourg,Stade Lavallois,0 , 3
8,SC Bastia,FC Sochaux-Montbéliard,0 , 1
8,AS Nancy-Lorraine,Stade Brestois 29,5 , 1
8,RC Lens,Paris Saint-Germain,1 , 1
8,Valenciennes FC,Olympique de Marseille,1 , 0
8,OGC Nice,FC Metz,4 , 2
9,Olympique Lyonnais,AS Saint-Etienne,0 , 0
9,AS Monaco FC,OGC Nice,2 , 1
9,FC Nantes,Valenciennes FC,0 , 0
9,LOSC Lille,SC Bastia,2 , 0
9,Olympique de Marseille,RC Strasbourg,1 , 3
9,FC Sochaux-Montbéliard,Nîmes Olympique,2 , 1
9,Stade Lavallois,Angers SCO,3 , 2
9,Paris Saint-Germain,AS Nancy-Lorraine,1 , 2
9,FC Metz,Girondins de Bordeaux,1 , 1
9,Stade Brestois 29,RC Lens,0 , 0
10,AS Saint-Etienne,Paris Saint-Germain,2 , 0
10,LOSC Lille,AS Monaco FC,3 , 1
10,RC Strasbourg,Stade Brestois 29,2 , 1
10,Nîmes Olympique,FC Nantes,2 , 1
10,Angers SCO,FC Sochaux-Montbéliard,1 , 3
10,AS Nancy-Lorraine,RC Lens,1 , 1
10,Valenciennes FC,Stade Lavallois,1 , 1
10,SC Bastia,FC Metz,0 , 1
10,Girondins de Bordeaux,Olympique Lyonnais,3 , 0
10,OGC Nice,Olympique de Marseille,0 , 3
11,RC Lens,AS Saint-Etienne,4 , 3
11,AS Monaco FC,RC Strasbourg,4 , 1
11,FC Nantes,AS Nancy-Lorraine,2 , 0
11,FC Metz,LOSC Lille,2 , 0
11,Stade Lavallois,Nîmes Olympique,3 , 1
11,FC Sochaux-Montbéliard,Valenciennes FC,0 , 1
11,Stade Brestois 29,Angers SCO,0 , 1
11,Olympique de Marseille,Girondins de Bordeaux,1 , 1
11,Paris Saint-Germain,OGC Nice,2 , 2
11,Olympique Lyonnais,SC Bastia,1 , 1
12,Angers SCO,AS Monaco FC,1 , 4
12,AS Saint-Etienne,AS Nancy-Lorraine,2 , 2
12,LOSC Lille,FC Nantes,1 , 1
12,Nîmes Olympique,Paris Saint-Germain,2 , 0
12,Girondins de Bordeaux,FC Sochaux-Montbéliard,2 , 3
12,RC Strasbourg,RC Lens,0 , 1
12,Valenciennes FC,Stade Brestois 29,2 , 1
12,FC Metz,Olympique Lyonnais,5 , 2
12,SC Bastia,Olympique de Marseille,2 , 0
12,OGC Nice,Stade Lavallois,0 , 1
13,AS Monaco FC,AS Saint-Etienne,2 , 1
13,FC Nantes,SC Bastia,1 , 0
13,FC Sochaux-Montbéliard,OGC Nice,2 , 1
13,Stade Brestois 29,Nîmes Olympique,2 , 2
13,AS Nancy-Lorraine,RC Strasbourg,3 , 4
13,Olympique Lyonnais,LOSC Lille,4 , 2
13,Paris Saint-Germain,Valenciennes FC,3 , 0
13,Olympique de Marseille,FC Metz,1 , 0
13,RC Lens,Angers SCO,2 , 0
13,Stade Lavallois,Girondins de Bordeaux,1 , 0
14,Girondins de Bordeaux,AS Monaco FC,3 , 1
14,FC Metz,FC Nantes,0 , 0
14,RC Strasbourg,AS Saint-Etienne,1 , 0
14,Nîmes Olympique,AS Nancy-Lorraine,4 , 2
14,Olympique Lyonnais,FC Sochaux-Montbéliard,3 , 1
14,LOSC Lille,Olympique de Marseille,1 , 1
14,Valenciennes FC,RC Lens,3 , 1
14,Angers SCO,Paris Saint-Germain,1 , 2
14,SC Bastia,Stade Lavallois,2 , 1
14,OGC Nice,Stade Brestois 29,3 , 0
15,AS Monaco FC,SC Bastia,1 , 0
15,FC Nantes,OGC Nice,5 , 0
15,AS Saint-Etienne,Angers SCO,3 , 3
15,RC Lens,Nîmes Olympique,1 , 0
15,Paris Saint-Germain,RC Strasbourg,1 , 0
15,Stade Lavallois,LOSC Lille,2 , 0
15,AS Nancy-Lorraine,Valenciennes FC,1 , 0
15,Stade Brestois 29,Girondins de Bordeaux,0 , 1
15,Olympique de Marseille,Olympique Lyonnais,3 , 1
15,FC Sochaux-Montbéliard,FC Metz,4 , 0
16,FC Metz,Stade Lavallois,1 , 4
16,Olympique de Marseille,AS Monaco FC,0 , 3
16,Olympique Lyonnais,FC Nantes,1 , 2
16,Valenciennes FC,AS Saint-Etienne,0 , 0
16,LOSC Lille,FC Sochaux-Montbéliard,1 , 1
16,Nîmes Olympique,RC Strasbourg,0 , 0
16,Girondins de Bordeaux,Paris Saint-Germain,0 , 1
16,Angers SCO,AS Nancy-Lorraine,1 , 0
16,OGC Nice,RC Lens,1 , 0
16,SC Bastia,Stade Brestois 29,1 , 0
17,AS Monaco FC,FC Metz,3 , 0
17,FC Nantes,Angers SCO,3 , 1
17,AS Saint-Etienne,Nîmes Olympique,3 , 1
17,FC Sochaux-Montbéliard,Olympique de Marseille,3 , 0
17,RC Strasbourg,Valenciennes FC,2 , 1
17,Stade Brestois 29,LOSC Lille,1 , 1
17,Paris Saint-Germain,SC Bastia,1 , 1
17,RC Lens,Girondins de Bordeaux,2 , 1
17,Stade Lavallois,Olympique Lyonnais,1 , 2
17,AS Nancy-Lorraine,OGC Nice,1 , 2
18,Olympique Lyonnais,AS Monaco FC,0 , 1
18,OGC Nice,AS Saint-Etienne,2 , 4
18,Angers SCO,RC Strasbourg,1 , 0
18,LOSC Lille,Paris Saint-Germain,4 , 2
18,Valenciennes FC,Nîmes Olympique,4 , 1
18,SC Bastia,RC Lens,1 , 2
18,FC Metz,Stade Brestois 29,0 , 0
18,FC Sochaux-Montbéliard,FC Nantes,1 , 0
18,Olympique de Marseille,Stade Lavallois,0 , 2
18,Girondins de Bordeaux,AS Nancy-Lorraine,4 , 1
19,AS Monaco FC,Valenciennes FC,0 , 1
19,FC Nantes,Olympique de Marseille,4 , 1
19,Stade Lavallois,FC Sochaux-Montbéliard,3 , 3
19,RC Strasbourg,OGC Nice,2 , 3
19,RC Lens,LOSC Lille,5 , 3
19,Nîmes Olympique,Angers SCO,1 , 1
19,Stade Brestois 29,Olympique Lyonnais,5 , 1
19,AS Saint-Etienne,Girondins de Bordeaux,3 , 3
19,Paris Saint-Germain,FC Metz,2 , 0
19,AS Nancy-Lorraine,SC Bastia,3 , 1
20,LOSC Lille,AS Saint-Etienne,0 , 2
20,Olympique Lyonnais,AS Nancy-Lorraine,2 , 1
20,Stade Lavallois,AS Monaco FC,0 , 2
20,FC Nantes,RC Lens,3 , 0
20,Olympique de Marseille,Paris Saint-Germain,0 , 2
20,FC Metz,RC Strasbourg,0 , 0
20,SC Bastia,Nîmes Olympique,2 , 0
20,OGC Nice,Valenciennes FC,2 , 0
20,FC Sochaux-Montbéliard,Stade Brestois 29,7 , 0
20,Girondins de Bordeaux,Angers SCO,2 , 1
21,RC Strasbourg,SC Bastia,1 , 0
21,AS Monaco FC,FC Nantes,2 , 1
21,Nîmes Olympique,LOSC Lille,3 , 2
21,Stade Brestois 29,Stade Lavallois,2 , 2
21,RC Lens,Olympique Lyonnais,1 , 1
21,Valenciennes FC,Girondins de Bordeaux,0 , 3
21,Angers SCO,OGC Nice,2 , 3
21,AS Saint-Etienne,Olympique de Marseille,3 , 1
21,Paris Saint-Germain,FC Sochaux-Montbéliard,3 , 1
21,AS Nancy-Lorraine,FC Metz,0 , 1
22,AS Monaco FC,Stade Brestois 29,4 , 0
22,FC Metz,AS Saint-Etienne,1 , 2
22,FC Nantes,RC Strasbourg,2 , 1
22,Stade Lavallois,Paris Saint-Germain,3 , 1
22,LOSC Lille,Valenciennes FC,0 , 1
22,SC Bastia,Angers SCO,1 , 1
22,FC Sochaux-Montbéliard,RC Lens,3 , 0
22,Girondins de Bordeaux,Nîmes Olympique,2 , 1
22,Olympique Lyonnais,OGC Nice,2 , 2
22,Olympique de Marseille,AS Nancy-Lorraine,2 , 2
23,Stade Brestois 29,FC Nantes,0 , 1
23,AS Nancy-Lorraine,FC Sochaux-Montbéliard,1 , 2
23,RC Strasbourg,Olympique Lyonnais,3 , 1
23,Valenciennes FC,SC Bastia,5 , 0
23,RC Lens,Olympique de Marseille,4 , 1
23,Angers SCO,LOSC Lille,2 , 0
23,Paris Saint-Germain,AS Monaco FC,2 , 1
23,AS Saint-Etienne,Stade Lavallois,3 , 1
23,Nîmes Olympique,FC Metz,2 , 1
23,OGC Nice,Girondins de Bordeaux,0 , 0
24,AS Monaco FC,RC Lens,2 , 0
24,FC Nantes,Girondins de Bordeaux,4 , 1
24,Stade Brestois 29,Paris Saint-Germain,0 , 4
24,LOSC Lille,RC Strasbourg,2 , 0
24,FC Metz,Valenciennes FC,1 , 0
24,Stade Lavallois,AS Nancy-Lorraine,0 , 1
24,SC Bastia,OGC Nice,3 , 0
24,FC Sochaux-Montbéliard,AS Saint-Etienne,4 , 1
24,Olympique Lyonnais,Nîmes Olympique,2 , 1
24,Olympique de Marseille,Angers SCO,3 , 1
25,OGC Nice,LOSC Lille,0 , 0
25,RC Strasbourg,FC Sochaux-Montbéliard,0 , 1
25,RC Lens,Stade Lavallois,1 , 0
25,Valenciennes FC,Olympique Lyonnais,1 , 1
25,Girondins de Bordeaux,SC Bastia,2 , 1
25,Angers SCO,FC Metz,2 , 0
25,AS Nancy-Lorraine,AS Monaco FC,2 , 1
25,AS Saint-Etienne,Stade Brestois 29,2 , 1
25,Paris Saint-Germain,FC Nantes,1 , 0
25,Nîmes Olympique,Olympique de Marseille,0 , 0
26,AS Monaco FC,Nîmes Olympique,0 , 0
26,FC Nantes,AS Saint-Etienne,2 , 0
26,LOSC Lille,Girondins de Bordeaux,0 , 1
26,Stade Lavallois,RC Strasbourg,0 , 0
26,FC Metz,OGC Nice,2 , 0
26,Stade Brestois 29,AS Nancy-Lorraine,3 , 3
26,FC Sochaux-Montbéliard,SC Bastia,3 , 0
26,Paris Saint-Germain,RC Lens,3 , 0
26,Olympique de Marseille,Valenciennes FC,3 , 6
26,Olympique Lyonnais,Angers SCO,0 , 1
27,Valenciennes FC,FC Nantes,1 , 0
27,AS Saint-Etienne,Olympique Lyonnais,2 , 0
27,Nîmes Olympique,FC Sochaux-Montbéliard,2 , 0
27,AS Nancy-Lorraine,Paris Saint-Germain,3 , 2
27,Angers SCO,Stade Lavallois,3 , 1
27,RC Lens,Stade Brestois 29,3 , 0
27,Girondins de Bordeaux,FC Metz,1 , 3
27,SC Bastia,LOSC Lille,4 , 0
27,RC Strasbourg,Olympique de Marseille,1 , 1
27,OGC Nice,AS Monaco FC,1 , 2
