day,home_team,away_team,home_score,away_score
1,AC Ajaccio,AS Nancy-Lorraine,5 , 0
1,CS Sedan,Angers SCO,6 , 2
1,Nîmes Olympique,Angoulême,3 , 1
1,OGC Nice,Olympique Lyonnais,2 , 0
1,AS Saint-Etienne,FC Nantes,2 , 3
1,AS Red Star 93,Valenciennes FC,3 , 2
1,RC Strasbourg,Olympique de Marseille,1 , 2
1,Girondins de Bordeaux,FC Sochaux-Montbéliard,1 , 2
1,FC Metz,SC Bastia,1 , 0
1,Stade Rennais FC,Stade de Reims,0 , 0
2,FC Nantes,CS Sedan,2 , 0
2,FC Sochaux-Montbéliard,AS Red Star 93,2 , 1
2,Olympique de Marseille,AC Ajaccio,1 , 0
2,Stade de Reims,Girondins de Bordeaux,3 , 0
2,FC Metz,OGC Nice,0 , 0
2,Valenciennes FC,Nîmes Olympique,3 , 1
2,SC Bastia,Stade Rennais FC,2 , 2
2,Angers SCO,AS Nancy-Lorraine,2 , 1
2,Angoulême,AS Saint-Etienne,1 , 1
2,Olympique Lyonnais,RC Strasbourg,2 , 2
3,AS Nancy-Lorraine,FC Nantes,1 , 2
3,OGC Nice,SC Bastia,2 , 0
3,Nîmes Olympique,Olympique de Marseille,3 , 0
3,AS Saint-Etienne,FC Sochaux-Montbéliard,1 , 0
3,Stade Rennais FC,FC Metz,0 , 0
3,AC Ajaccio,Angers SCO,0 , 0
3,CS Sedan,Angoulême,1 , 1
3,RC Strasbourg,Valenciennes FC,0 , 0
3,Girondins de Bordeaux,Olympique Lyonnais,3 , 0
3,AS Red Star 93,Stade de Reims,2 , 1
4,FC Nantes,Angers SCO,1 , 0
4,Olympique de Marseille,CS Sedan,5 , 0
4,Stade de Reims,OGC Nice,1 , 1
4,FC Sochaux-Montbéliard,RC Strasbourg,1 , 0
4,FC Metz,Girondins de Bordeaux,1 , 0
4,Stade Rennais FC,Nîmes Olympique,2 , 0
4,Valenciennes FC,AS Saint-Etienne,0 , 1
4,SC Bastia,AS Red Star 93,2 , 1
4,Angoulême,AS Nancy-Lorraine,1 , 0
4,Olympique Lyonnais,AC Ajaccio,3 , 0
5,AC Ajaccio,FC Nantes,2 , 1
5,OGC Nice,Stade Rennais FC,0 , 1
5,Angers SCO,Angoulême,1 , 4
5,AS Nancy-Lorraine,FC Sochaux-Montbéliard,2 , 1
5,Nîmes Olympique,Olympique Lyonnais,1 , 1
5,CS Sedan,Valenciennes FC,0 , 1
5,Girondins de Bordeaux,SC Bastia,2 , 0
5,RC Strasbourg,Stade de Reims,2 , 0
5,AS Red Star 93,FC Metz,0 , 0
5,AS Saint-Etienne,Olympique de Marseille,2 , 1
6,Stade Rennais FC,Girondins de Bordeaux,3 , 0
6,Olympique de Marseille,Angers SCO,5 , 1
6,Angoulême,FC Nantes,1 , 0
6,FC Sochaux-Montbéliard,CS Sedan,3 , 1
6,FC Metz,AS Saint-Etienne,2 , 2
6,OGC Nice,AC Ajaccio,2 , 3
6,Stade de Reims,Nîmes Olympique,1 , 1
6,Valenciennes FC,AS Nancy-Lorraine,1 , 1
6,Olympique Lyonnais,AS Red Star 93,2 , 1
6,SC Bastia,RC Strasbourg,3 , 1
7,FC Nantes,FC Sochaux-Montbéliard,1 , 1
7,AS Nancy-Lorraine,Olympique de Marseille,2 , 0
7,Nîmes Olympique,SC Bastia,2 , 0
7,AS Saint-Etienne,Stade de Reims,3 , 1
7,RC Strasbourg,FC Metz,2 , 1
7,Angers SCO,Valenciennes FC,5 , 3
7,CS Sedan,Olympique Lyonnais,3 , 1
7,AC Ajaccio,Angoulême,0 , 0
7,Girondins de Bordeaux,OGC Nice,3 , 1
7,AS Red Star 93,Stade Rennais FC,1 , 5
8,Stade Rennais FC,RC Strasbourg,2 , 0
8,Valenciennes FC,FC Nantes,1 , 2
