day,home_team,away_team,home_score,away_score
1,RC Lens,RC Strasbourg,6 , 0
1,CS Sedan,RC Paris,0 , 3
1,FC Nancy,Stade de Reims,3 , 5
1,Olympique de Marseille,OGC Nice,2 , 0
1,FC Sochaux-Montbéliard,Olympique d'Alès,4 , 5
1,Limoges FC,Olympique Lyonnais,1 , 0
1,AS Saint-Etienne,Nîmes Olympique,0 , 1
1,LOSC Lille,Stade Rennais FC,4 , 4
1,Angers SCO,Valenciennes FC,4 , 0
1,AS Monaco FC,Toulouse FC,1 , 0
2,AS Monaco FC,Olympique Lyonnais,4 , 1
2,Limoges FC,Olympique de Marseille,1 , 0
2,Stade Rennais FC,RC Lens,1 , 1
2,RC Paris,FC Nancy,4 , 4
2,Nîmes Olympique,OGC Nice,1 , 1
2,RC Strasbourg,Angers SCO,4 , 2
2,Valenciennes FC,Stade de Reims,3 , 1
2,AS Saint-Etienne,Olympique d'Alès,1 , 0
2,CS Sedan,LOSC Lille,1 , 1
2,Toulouse FC,FC Sochaux-Montbéliard,1 , 1
3,LOSC Lille,RC Paris,1 , 6
3,RC Lens,Valenciennes FC,2 , 0
3,Stade de Reims,Stade Rennais FC,4 , 0
3,Angers SCO,CS Sedan,3 , 1
3,Olympique d'Alès,AS Monaco FC,2 , 1
3,OGC Nice,Limoges FC,3 , 1
3,FC Nancy,RC Strasbourg,0 , 1
3,Toulouse FC,Olympique de Marseille,3 , 0
3,FC Sochaux-Montbéliard,AS Saint-Etienne,3 , 1
3,Olympique Lyonnais,Nîmes Olympique,2 , 1
4,RC Paris,RC Lens,5 , 0
4,AS Saint-Etienne,AS Monaco FC,3 , 5
4,Limoges FC,Nîmes Olympique,3 , 2
4,OGC Nice,Toulouse FC,3 , 2
4,Stade Rennais FC,Angers SCO,3 , 2
4,Olympique de Marseille,FC Sochaux-Montbéliard,0 , 0
4,Olympique d'Alès,Olympique Lyonnais,1 , 2
4,Valenciennes FC,RC Strasbourg,4 , 1
4,CS Sedan,FC Nancy,1 , 2
4,Stade de Reims,LOSC Lille,4 , 3
5,Toulouse FC,RC Paris,1 , 1
5,Olympique Lyonnais,Stade de Reims,1 , 5
5,AS Monaco FC,Valenciennes FC,2 , 1
5,Angers SCO,OGC Nice,1 , 2
5,Limoges FC,FC Nancy,0 , 0
5,RC Lens,Olympique d'Alès,2 , 4
5,Stade Rennais FC,FC Sochaux-Montbéliard,4 , 0
5,RC Strasbourg,Olympique de Marseille,3 , 1
5,Nîmes Olympique,LOSC Lille,3 , 0
5,CS Sedan,AS Saint-Etienne,5 , 0
6,Angers SCO,RC Paris,1 , 2
6,AS Monaco FC,Nîmes Olympique,1 , 1
6,RC Lens,Stade de Reims,2 , 1
6,Olympique d'Alès,OGC Nice,0 , 0
6,LOSC Lille,RC Strasbourg,2 , 3
6,CS Sedan,Stade Rennais FC,1 , 1
6,FC Sochaux-Montbéliard,Limoges FC,3 , 1
6,FC Nancy,Valenciennes FC,1 , 1
6,Olympique de Marseille,Olympique Lyonnais,1 , 1
6,AS Saint-Etienne,Toulouse FC,4 , 3
7,RC Paris,Olympique Lyonnais,2 , 2
7,Stade de Reims,Nîmes Olympique,3 , 1
7,LOSC Lille,AS Monaco FC,2 , 2
7,OGC Nice,RC Lens,3 , 1
7,AS Saint-Etienne,RC Strasbourg,1 , 5
7,Olympique de Marseille,Stade Rennais FC,1 , 3
7,Olympique d'Alès,CS Sedan,1 , 1
7,FC Sochaux-Montbéliard,Valenciennes FC,1 , 1
7,Angers SCO,Limoges FC,4 , 0
7,FC Nancy,Toulouse FC,0 , 1
8,Nîmes Olympique,RC Paris,0 , 0
8,AS Monaco FC,Stade de Reims,0 , 2
8,RC Strasbourg,Olympique d'Alès,2 , 0
8,CS Sedan,OGC Nice,1 , 0
8,Stade Rennais FC,AS Saint-Etienne,0 , 2
8,Limoges FC,RC Lens,2 , 1
8,Valenciennes FC,Olympique de Marseille,5 , 1
8,Toulouse FC,Angers SCO,1 , 1
8,Olympique Lyonnais,FC Nancy,1 , 3
8,LOSC Lille,FC Sochaux-Montbéliard,3 , 0
9,RC Paris,Stade Rennais FC,1 , 0
9,Stade de Reims,RC Strasbourg,2 , 3
9,Limoges FC,AS Saint-Etienne,4 , 0
9,Valenciennes FC,CS Sedan,1 , 1
9,FC Nancy,Angers SCO,3 , 2
9,RC Lens,LOSC Lille,2 , 2
9,Olympique de Marseille,Olympique d'Alès,2 , 1
9,Nîmes Olympique,Toulouse FC,3 , 1
9,Olympique Lyonnais,OGC Nice,1 , 0
9,AS Monaco FC,FC Sochaux-Montbéliard,1 , 0
