day,home_team,away_team,home_score,away_score
1,RC Paris,LOSC Lille,1 , 4
1,FC Sète 34,AS Red Star 93,1 , 2
1,CO Roubaix-Tourcoing,AS Cannes,3 , 1
1,Stade Français,FC Sochaux-Montbéliard,2 , 2
1,Olympique d'Alès,RC Strasbourg,0 , 2
1,Olympique de Marseille,Toulouse FC,3 , 2
1,Stade de Reims,FC Nancy,5 , 0
1,Stade Rennais FC,AS Saint-Etienne,1 , 3
1,FC Metz,SO Montpellier,1 , 0
2,LOSC Lille,CO Roubaix-Tourcoing,4 , 0
2,SO Montpellier,FC Sochaux-Montbéliard,2 , 0
2,AS Cannes,FC Metz,1 , 1
2,AS Red Star 93,RC Paris,1 , 3
2,AS Saint-Etienne,Olympique d'Alès,3 , 3
2,Toulouse FC,Stade Français,4 , 0
2,RC Strasbourg,FC Sète 34,3 , 1
2,Stade de Reims,Stade Rennais FC,1 , 0
2,FC Nancy,Olympique de Marseille,4 , 0
3,RC Paris,AS Saint-Etienne,2 , 2
3,FC Sète 34,Stade Rennais FC,2 , 0
3,CO Roubaix-Tourcoing,RC Strasbourg,3 , 2
3,FC Sochaux-Montbéliard,LOSC Lille,1 , 2
3,Toulouse FC,AS Cannes,0 , 0
3,FC Metz,AS Red Star 93,2 , 0
3,Olympique de Marseille,Stade Français,5 , 1
3,FC Nancy,SO Montpellier,2 , 2
3,Olympique d'Alès,Stade de Reims,0 , 1
4,Stade Français,FC Nancy,2 , 3
4,Stade de Reims,Olympique de Marseille,3 , 0
4,RC Strasbourg,RC Paris,1 , 2
4,AS Cannes,FC Sochaux-Montbéliard,3 , 0
4,AS Saint-Etienne,FC Sète 34,3 , 1
4,AS Red Star 93,CO Roubaix-Tourcoing,1 , 1
4,Stade Rennais FC,Olympique d'Alès,4 , 1
4,LOSC Lille,FC Metz,3 , 1
4,SO Montpellier,Toulouse FC,1 , 3
5,CO Roubaix-Tourcoing,AS Saint-Etienne,0 , 3
5,Olympique de Marseille,SO Montpellier,2 , 1
5,FC Metz,RC Strasbourg,4 , 1
5,RC Paris,Stade Rennais FC,2 , 4
5,FC Nancy,AS Cannes,1 , 1
5,FC Sète 34,Olympique d'Alès,2 , 3
5,FC Sochaux-Montbéliard,AS Red Star 93,0 , 1
5,Toulouse FC,LOSC Lille,1 , 4
5,Stade Français,Stade de Reims,2 , 1
6,Olympique d'Alès,RC Paris,0 , 5
6,AS Saint-Etienne,FC Metz,3 , 0
6,SO Montpellier,Stade Français,6 , 2
6,Stade de Reims,FC Sète 34,3 , 0
6,AS Red Star 93,Toulouse FC,1 , 2
6,Stade Rennais FC,CO Roubaix-Tourcoing,4 , 4
6,AS Cannes,Olympique de Marseille,0 , 2
6,RC Strasbourg,FC Sochaux-Montbéliard,2 , 2
6,LOSC Lille,FC Nancy,4 , 1
7,RC Paris,FC Sète 34,7 , 1
7,FC Metz,Stade Rennais FC,6 , 1
7,Olympique de Marseille,LOSC Lille,4 , 1
7,FC Sochaux-Montbéliard,AS Saint-Etienne,2 , 2
7,CO Roubaix-Tourcoing,Olympique d'Alès,1 , 0
7,SO Montpellier,Stade de Reims,2 , 3
7,Toulouse FC,RC Strasbourg,0 , 3
7,FC Nancy,AS Red Star 93,5 , 1
7,Stade Français,AS Cannes,1 , 4
8,AS Red Star 93,Olympique de Marseille,2 , 2
8,LOSC Lille,Stade Français,1 , 3
8,Stade Rennais FC,FC Sochaux-Montbéliard,0 , 3
8,AS Saint-Etienne,Toulouse FC,4 , 2
8,FC Sète 34,CO Roubaix-Tourcoing,1 , 5
8,AS Cannes,SO Montpellier,1 , 1
8,RC Strasbourg,FC Nancy,1 , 1
8,RC Paris,Stade de Reims,2 , 1
8,Olympique d'Alès,FC Metz,3 , 0
9,CO Roubaix-Tourcoing,RC Paris,5 , 2
9,SO Montpellier,LOSC Lille,0 , 1
9,FC Metz,FC Sète 34,4 , 2
9,FC Sochaux-Montbéliard,Olympique d'Alès,2 , 0
9,Stade de Reims,AS Cannes,3 , 0
9,Toulouse FC,Stade Rennais FC,0 , 1
9,Stade Français,AS Red Star 93,4 , 0
9,Olympique de Marseille,RC Strasbourg,1 , 0
9,FC Nancy,AS Saint-Etienne,4 , 0
10,AS Red Star 93,SO Montpellier,3 , 4
10,AS Saint-Etienne,Olympique de Marseille,3 , 2
10,RC Paris,FC Metz,4 , 2
10,LOSC Lille,AS Cannes,3 , 0
10,Stade de Reims,CO Roubaix-Tourcoing,1 , 1
10,FC Sète 34,FC Sochaux-Montbéliard,1 , 5
10,RC Strasbourg,Stade Français,1 , 1
10,Stade Rennais FC,FC Nancy,0 , 0
10,Olympique d'Alès,Toulouse FC,3 , 2
11,Stade Français,AS Saint-Etienne,2 , 1
11,LOSC Lille,Stade de Reims,0 , 0
11,SO Montpellier,RC Strasbourg,1 , 1
11,FC Metz,CO Roubaix-Tourcoing,0 , 1
11,FC Sochaux-Montbéliard,RC Paris,3 , 2
11,Toulouse FC,FC Sète 34,2 , 1
11,FC Nancy,Olympique d'Alès,1 , 0
11,AS Cannes,AS Red Star 93,1 , 0
11,Olympique de Marseille,Stade Rennais FC,1 , 1
12,RC Paris,Toulouse FC,2 , 0
12,CO Roubaix-Tourcoing,FC Sochaux-Montbéliard,3 , 1
12,Stade Rennais FC,Stade Français,0 , 3
12,RC Strasbourg,AS Cannes,8 , 2
12,FC Metz,Stade de Reims,1 , 3
12,FC Sète 34,FC Nancy,4 , 3
12,Olympique d'Alès,Olympique de Marseille,2 , 3
12,AS Saint-Etienne,SO Montpellier,2 , 2
12,AS Red Star 93,LOSC Lille,1 , 2
13,Stade Français,Olympique d'Alès,3 , 1
13,Stade de Reims,AS Red Star 93,1 , 0
13,SO Montpellier,Stade Rennais FC,2 , 2
13,LOSC Lille,RC Strasbourg,1 , 1
13,Olympique de Marseille,FC Sète 34,4 , 1
13,FC Nancy,RC Paris,1 , 3
13,Toulouse FC,CO Roubaix-Tourcoing,2 , 1
13,FC Sochaux-Montbéliard,FC Metz,4 , 3
13,AS Cannes,AS Saint-Etienne,0 , 3
14,Stade Rennais FC,LOSC Lille,4 , 2
14,RC Strasbourg,Stade de Reims,2 , 2
14,RC Paris,Stade Français,0 , 1
14,FC Metz,FC Nancy,4 , 3
14,FC Sète 34,SO Montpellier,0 , 1
14,Olympique d'Alès,AS Cannes,2 , 1
14,AS Saint-Etienne,AS Red Star 93,4 , 1
14,FC Sochaux-Montbéliard,Toulouse FC,4 , 0
14,CO Roubaix-Tourcoing,Olympique de Marseille,1 , 1
15,AS Red Star 93,RC Strasbourg,0 , 5
15,FC Nancy,CO Roubaix-Tourcoing,0 , 4
15,SO Montpellier,Olympique d'Alès,1 , 3
15,LOSC Lille,AS Saint-Etienne,0 , 0
15,Stade de Reims,FC Sochaux-Montbéliard,4 , 0
15,Toulouse FC,FC Metz,4 , 3
15,Olympique de Marseille,RC Paris,4 , 1
15,Stade Français,FC Sète 34,4 , 1
15,AS Cannes,Stade Rennais FC,5 , 2
16,FC Metz,Olympique de Marseille,0 , 1
16,RC Paris,SO Montpellier,6 , 1
16,FC Sète 34,AS Cannes,4 , 0
16,Stade Rennais FC,AS Red Star 93,1 , 0
16,FC Sochaux-Montbéliard,FC Nancy,2 , 2
16,CO Roubaix-Tourcoing,Stade Français,1 , 0
16,Olympique d'Alès,LOSC Lille,1 , 1
16,AS Saint-Etienne,RC Strasbourg,1 , 1
16,Toulouse FC,Stade de Reims,1 , 3
17,Stade de Reims,AS Saint-Etienne,6 , 0
17,SO Montpellier,CO Roubaix-Tourcoing,1 , 1
17,RC Strasbourg,Stade Rennais FC,6 , 1
17,Olympique de Marseille,FC Sochaux-Montbéliard,3 , 1
17,LOSC Lille,FC Sète 34,5 , 3
17,FC Nancy,Toulouse FC,0 , 0
17,AS Red Star 93,Olympique d'Alès,3 , 1
17,AS Cannes,RC Paris,4 , 4
17,Stade Français,FC Metz,7 , 1
18,Toulouse FC,Olympique de Marseille,3 , 1
18,LOSC Lille,RC Paris,2 , 1
18,FC Sochaux-Montbéliard,Stade Français,4 , 0
18,FC Nancy,Stade de Reims,1 , 2
18,AS Red Star 93,FC Sète 34,1 , 0
18,SO Montpellier,FC Metz,5 , 2
18,AS Saint-Etienne,Stade Rennais FC,1 , 0
18,AS Cannes,CO Roubaix-Tourcoing,1 , 1
18,RC Strasbourg,Olympique d'Alès,9 , 3
19,Stade Français,Toulouse FC,2 , 1
19,Stade Rennais FC,Stade de Reims,1 , 0
19,Olympique de Marseille,FC Nancy,5 , 0
19,CO Roubaix-Tourcoing,LOSC Lille,1 , 5
19,Olympique d'Alès,AS Saint-Etienne,2 , 2
19,RC Paris,AS Red Star 93,2 , 1
19,FC Sète 34,RC Strasbourg,3 , 2
19,FC Sochaux-Montbéliard,SO Montpellier,1 , 0
19,FC Metz,AS Cannes,1 , 1
20,Stade Français,Olympique de Marseille,1 , 1
20,AS Cannes,Toulouse FC,1 , 0
20,Stade de Reims,Olympique d'Alès,1 , 0
20,LOSC Lille,FC Sochaux-Montbéliard,6 , 1
20,AS Saint-Etienne,RC Paris,1 , 4
20,RC Strasbourg,CO Roubaix-Tourcoing,3 , 0
20,SO Montpellier,FC Nancy,3 , 1
20,Stade Rennais FC,FC Sète 34,3 , 0
20,AS Red Star 93,FC Metz,0 , 1
21,FC Nancy,Stade Français,0 , 0
21,Toulouse FC,SO Montpellier,4 , 2
21,FC Sochaux-Montbéliard,AS Cannes,5 , 1
21,FC Sète 34,AS Saint-Etienne,4 , 2
21,Olympique d'Alès,Stade Rennais FC,1 , 1
21,CO Roubaix-Tourcoing,AS Red Star 93,1 , 0
21,FC Metz,LOSC Lille,6 , 2
21,Olympique de Marseille,Stade de Reims,1 , 0
21,RC Paris,RC Strasbourg,4 , 2
22,FC Nancy,RC Strasbourg,3 , 0
22,Stade de Reims,RC Paris,2 , 2
22,Stade Français,LOSC Lille,1 , 1
22,FC Metz,Olympique d'Alès,4 , 4
22,Toulouse FC,AS Saint-Etienne,0 , 2
22,Olympique de Marseille,AS Red Star 93,3 , 0
22,SO Montpellier,AS Cannes,0 , 2
22,FC Sochaux-Montbéliard,Stade Rennais FC,2 , 0
22,CO Roubaix-Tourcoing,FC Sète 34,2 , 4
23,Stade de Reims,SO Montpellier,1 , 0
23,Olympique d'Alès,CO Roubaix-Tourcoing,1 , 1
23,Stade Rennais FC,FC Metz,0 , 2
23,AS Saint-Etienne,FC Sochaux-Montbéliard,2 , 1
23,RC Strasbourg,Toulouse FC,3 , 1
23,FC Sète 34,RC Paris,3 , 2
23,AS Red Star 93,FC Nancy,2 , 0
23,AS Cannes,Stade Français,2 , 0
23,LOSC Lille,Olympique de Marseille,3 , 0
24,RC Paris,Olympique d'Alès,0 , 0
24,CO Roubaix-Tourcoing,Stade Rennais FC,1 , 2
24,FC Nancy,LOSC Lille,2 , 1
24,Toulouse FC,AS Red Star 93,2 , 1
24,FC Sochaux-Montbéliard,RC Strasbourg,1 , 0
24,Olympique de Marseille,AS Cannes,2 , 1
24,FC Sète 34,Stade de Reims,4 , 2
24,Stade Français,SO Montpellier,4 , 1
24,FC Metz,AS Saint-Etienne,2 , 2
25,AS Red Star 93,FC Sochaux-Montbéliard,0 , 0
25,Stade de Reims,Stade Français,0 , 3
25,AS Cannes,FC Nancy,2 , 1
25,Olympique d'Alès,FC Sète 34,1 , 1
25,AS Saint-Etienne,CO Roubaix-Tourcoing,1 , 2
25,LOSC Lille,Toulouse FC,3 , 0
25,Stade Rennais FC,RC Paris,2 , 0
25,RC Strasbourg,FC Metz,8 , 4
25,SO Montpellier,Olympique de Marseille,1 , 0
26,AS Cannes,Stade de Reims,0 , 4
26,RC Strasbourg,Olympique de Marseille,1 , 1
26,AS Red Star 93,Stade Français,0 , 7
26,Olympique d'Alès,FC Sochaux-Montbéliard,2 , 2
26,FC Sète 34,FC Metz,2 , 1
26,LOSC Lille,SO Montpellier,4 , 1
26,RC Paris,CO Roubaix-Tourcoing,2 , 1
26,Stade Rennais FC,Toulouse FC,2 , 0
26,AS Saint-Etienne,FC Nancy,2 , 0
27,AS Cannes,LOSC Lille,0 , 2
27,Olympique de Marseille,AS Saint-Etienne,4 , 1
27,CO Roubaix-Tourcoing,Stade de Reims,2 , 1
27,FC Metz,RC Paris,2 , 1
27,FC Sochaux-Montbéliard,FC Sète 34,2 , 2
27,Toulouse FC,Olympique d'Alès,2 , 0
27,Stade Français,RC Strasbourg,2 , 2
27,FC Nancy,Stade Rennais FC,1 , 0
27,SO Montpellier,AS Red Star 93,0 , 0
28,Stade Rennais FC,Olympique de Marseille,1 , 1
28,FC Sète 34,Toulouse FC,2 , 2
28,CO Roubaix-Tourcoing,FC Metz,1 , 2
28,AS Saint-Etienne,Stade Français,1 , 1
28,Olympique d'Alès,FC Nancy,1 , 1
28,RC Strasbourg,SO Montpellier,0 , 1
28,AS Red Star 93,AS Cannes,3 , 2
28,Stade de Reims,LOSC Lille,2 , 2
28,RC Paris,FC Sochaux-Montbéliard,2 , 1
29,Stade de Reims,FC Metz,4 , 2
29,Stade Français,Stade Rennais FC,3 , 1
29,Toulouse FC,RC Paris,1 , 0
29,LOSC Lille,AS Red Star 93,2 , 0
29,SO Montpellier,AS Saint-Etienne,2 , 0
29,Olympique de Marseille,Olympique d'Alès,8 , 0
29,FC Sochaux-Montbéliard,CO Roubaix-Tourcoing,5 , 1
29,FC Nancy,FC Sète 34,2 , 0
29,AS Cannes,RC Strasbourg,2 , 2
30,RC Paris,FC Nancy,3 , 0
30,CO Roubaix-Tourcoing,Toulouse FC,1 , 3
30,AS Saint-Etienne,AS Cannes,2 , 0
30,FC Sète 34,Olympique de Marseille,1 , 3
30,RC Strasbourg,LOSC Lille,2 , 0
30,Stade Rennais FC,SO Montpellier,4 , 1
30,FC Metz,FC Sochaux-Montbéliard,2 , 0
30,AS Red Star 93,Stade de Reims,0 , 2
30,Olympique d'Alès,Stade Français,2 , 2
31,Stade de Reims,RC Strasbourg,2 , 2
31,Toulouse FC,FC Sochaux-Montbéliard,2 , 3
31,Stade Français,RC Paris,1 , 5
31,Olympique de Marseille,CO Roubaix-Tourcoing,6 , 0
31,SO Montpellier,FC Sète 34,1 , 1
31,LOSC Lille,Stade Rennais FC,1 , 1
31,FC Nancy,FC Metz,4 , 2
31,AS Cannes,Olympique d'Alès,4 , 1
31,AS Red Star 93,AS Saint-Etienne,0 , 5
32,FC Sochaux-Montbéliard,Stade de Reims,0 , 3
32,FC Sète 34,Stade Français,3 , 2
32,AS Saint-Etienne,LOSC Lille,8 , 3
32,RC Paris,Olympique de Marseille,1 , 1
32,Stade Rennais FC,AS Cannes,0 , 0
32,FC Metz,Toulouse FC,1 , 0
32,Olympique d'Alès,SO Montpellier,3 , 0
32,RC Strasbourg,AS Red Star 93,3 , 1
32,CO Roubaix-Tourcoing,FC Nancy,3 , 0
33,Stade Français,CO Roubaix-Tourcoing,0 , 2
33,LOSC Lille,Olympique d'Alès,5 , 2
33,Stade de Reims,Toulouse FC,4 , 0
33,Olympique de Marseille,FC Metz,6 , 3
33,RC Strasbourg,AS Saint-Etienne,2 , 0
33,AS Red Star 93,Stade Rennais FC,3 , 5
33,FC Nancy,FC Sochaux-Montbéliard,2 , 1
33,AS Cannes,FC Sète 34,1 , 2
33,SO Montpellier,RC Paris,6 , 0
34,FC Sochaux-Montbéliard,Olympique de Marseille,2 , 2
34,FC Sète 34,LOSC Lille,1 , 2
34,RC Paris,AS Cannes,2 , 3
34,AS Saint-Etienne,Stade de Reims,3 , 2
34,Stade Rennais FC,RC Strasbourg,7 , 1
34,CO Roubaix-Tourcoing,SO Montpellier,7 , 0
34,FC Metz,Stade Français,0 , 1
34,Olympique d'Alès,AS Red Star 93,3 , 1
34,Toulouse FC,FC Nancy,4 , 0
