day,home_team,away_team,home_score,away_score
1,Nîmes Olympique,FC Nantes,0 , 0
1,LOSC Lille,AS Monaco FC,3 , 3
1,Girondins de Bordeaux,RC Strasbourg,1 , 1
1,RC Lens,FC Metz,4 , 1
1,SC Bastia,Paris Saint-Germain,3 , 0
1,OGC Nice,FC Sochaux-Montbéliard,3 , 0
1,Olympique de Marseille,FC Avignon,3 , 1
1,ESTAC Troyes,Olympique Lyonnais,3 , 4
1,AS Saint-Etienne,Stade de Reims,2 , 1
1,AS Nancy-Lorraine,Valenciennes FC,3 , 3
2,FC Avignon,OGC Nice,1 , 5
2,RC Lens,Olympique de Marseille,2 , 3
2,SC Bastia,LOSC Lille,1 , 1
2,Olympique Lyonnais,Valenciennes FC,1 , 1
2,FC Metz,AS Saint-Etienne,1 , 1
2,RC Strasbourg,Nîmes Olympique,0 , 1
2,FC Sochaux-Montbéliard,AS Nancy-Lorraine,3 , 0
2,Stade de Reims,Paris Saint-Germain,1 , 1
2,FC Nantes,ESTAC Troyes,2 , 2
2,AS Monaco FC,Girondins de Bordeaux,1 , 1
3,OGC Nice,AS Monaco FC,4 , 1
3,Olympique de Marseille,FC Metz,2 , 1
3,AS Nancy-Lorraine,Olympique Lyonnais,1 , 4
3,Nîmes Olympique,SC Bastia,3 , 0
3,AS Saint-Etienne,RC Lens,2 , 0
3,Girondins de Bordeaux,FC Sochaux-Montbéliard,1 , 2
3,Paris Saint-Germain,FC Avignon,6 , 2
3,LOSC Lille,Stade de Reims,2 , 2
3,Valenciennes FC,FC Nantes,1 , 1
3,ESTAC Troyes,RC Strasbourg,1 , 1
4,AS Saint-Etienne,Girondins de Bordeaux,5 , 2
4,FC Nantes,Olympique Lyonnais,2 , 3
4,Stade de Reims,Olympique de Marseille,3 , 1
4,AS Monaco FC,Nîmes Olympique,3 , 1
4,FC Sochaux-Montbéliard,ESTAC Troyes,2 , 2
4,RC Lens,Paris Saint-Germain,3 , 3
4,RC Strasbourg,Valenciennes FC,1 , 0
4,FC Metz,LOSC Lille,5 , 2
4,FC Avignon,AS Nancy-Lorraine,2 , 3
4,SC Bastia,OGC Nice,1 , 1
5,Olympique Lyonnais,RC Strasbourg,2 , 1
5,OGC Nice,Stade de Reims,2 , 1
5,Olympique de Marseille,AS Saint-Etienne,4 , 2
5,Nîmes Olympique,FC Sochaux-Montbéliard,0 , 2
5,Paris Saint-Germain,FC Metz,3 , 1
5,ESTAC Troyes,AS Monaco FC,3 , 1
5,Valenciennes FC,SC Bastia,3 , 1
5,LOSC Lille,RC Lens,4 , 2
5,AS Nancy-Lorraine,FC Nantes,1 , 1
5,Girondins de Bordeaux,FC Avignon,2 , 1
6,FC Metz,OGC Nice,2 , 2
6,FC Sochaux-Montbéliard,Olympique Lyonnais,1 , 0
6,AS Saint-Etienne,Paris Saint-Germain,1 , 1
6,Olympique de Marseille,AS Nancy-Lorraine,1 , 3
6,AS Monaco FC,Valenciennes FC,3 , 1
6,Stade de Reims,Girondins de Bordeaux,0 , 0
6,RC Strasbourg,FC Nantes,1 , 1
6,FC Avignon,LOSC Lille,1 , 0
6,RC Lens,Nîmes Olympique,1 , 1
6,SC Bastia,ESTAC Troyes,3 , 1
