day,home_team,away_team,home_score,away_score
1,OGC Nice,FC Metz,6 , 2
1,RC Paris,FC Sochaux-Montbéliard,6 , 4
1,RC Lens,Toulouse FC,3 , 1
1,Olympique de Marseille,LOSC Lille,3 , 4
1,CS Sedan,AS Monaco FC,2 , 1
1,Olympique Lyonnais,Nîmes Olympique,1 , 0
1,Olympique d'Alès,Valenciennes FC,0 , 1
1,AS Béziers,AS Saint-Etienne,2 , 2
1,Angers SCO,Stade de Reims,0 , 1
2,Nîmes Olympique,RC Lens,2 , 3
2,Valenciennes FC,CS Sedan,3 , 1
2,Olympique Lyonnais,FC Metz,2 , 0
2,Stade de Reims,OGC Nice,3 , 2
2,Olympique de Marseille,RC Paris,1 , 1
2,LOSC Lille,AS Saint-Etienne,1 , 2
2,AS Monaco FC,FC Sochaux-Montbéliard,5 , 2
2,AS Béziers,Angers SCO,4 , 4
2,Toulouse FC,Olympique d'Alès,2 , 3
3,RC Lens,Olympique Lyonnais,4 , 4
3,Valenciennes FC,OGC Nice,1 , 1
3,AS Monaco FC,Stade de Reims,3 , 0
3,CS Sedan,Nîmes Olympique,3 , 1
3,Olympique d'Alès,LOSC Lille,2 , 1
3,AS Saint-Etienne,Toulouse FC,1 , 1
3,RC Paris,Angers SCO,1 , 2
3,FC Metz,Olympique de Marseille,1 , 2
3,FC Sochaux-Montbéliard,AS Béziers,4 , 0
4,FC Metz,RC Lens,1 , 4
4,Stade de Reims,Olympique Lyonnais,4 , 0
4,OGC Nice,CS Sedan,8 , 0
4,LOSC Lille,RC Paris,1 , 3
4,FC Sochaux-Montbéliard,Valenciennes FC,1 , 0
4,Angers SCO,AS Monaco FC,3 , 2
4,AS Saint-Etienne,Olympique d'Alès,2 , 2
4,Toulouse FC,Olympique de Marseille,1 , 1
4,Nîmes Olympique,AS Béziers,2 , 0
5,RC Lens,OGC Nice,1 , 0
5,RC Paris,Nîmes Olympique,3 , 1
5,FC Metz,AS Saint-Etienne,0 , 2
5,AS Béziers,AS Monaco FC,0 , 3
5,FC Sochaux-Montbéliard,Toulouse FC,4 , 2
5,Angers SCO,LOSC Lille,0 , 0
