day,home_team,away_team,home_score,away_score
1,FC Sochaux-Montbéliard,EAC Roubaix,0 , 2
1,Olympique Lillois,AS Cannes,0 , 0
1,FC Mulhouse,SC Nîmois,6 , 0
1,FC Antibes,SC Fives,2 , 3
1,Olympique d'Alès,Olympique de Marseille,1 , 0
1,AS Red Star 93,Stade Rennais FC,2 , 1
1,RC Strasbourg,FC Sète 34,5 , 2
1,SO Montpellier,RC Paris,3 , 3
2,FC Sochaux-Montbéliard,Stade Rennais FC,2 , 1
2,FC Mulhouse,Olympique de Marseille,3 , 4
2,Olympique Lillois,FC Sète 34,2 , 0
2,FC Antibes,AS Red Star 93,1 , 1
2,RC Paris,EAC Roubaix,3 , 1
2,Olympique d'Alès,SC Nîmois,2 , 4
2,RC Strasbourg,AS Cannes,1 , 1
2,SO Montpellier,SC Fives,2 , 0
3,EAC Roubaix,RC Strasbourg,1 , 2
3,RC Paris,Olympique d'Alès,6 , 3
3,FC Sète 34,AS Red Star 93,2 , 2
3,SC Nîmois,SO Montpellier,4 , 5
3,AS Cannes,FC Sochaux-Montbéliard,0 , 2
3,SC Fives,FC Mulhouse,0 , 2
3,Stade Rennais FC,Olympique Lillois,4 , 0
3,Olympique de Marseille,FC Antibes,7 , 2
4,SC Nîmois,FC Antibes,3 , 1
4,Olympique de Marseille,SO Montpellier,4 , 1
4,Stade Rennais FC,RC Strasbourg,0 , 2
4,SC Fives,Olympique d'Alès,1 , 0
4,AS Cannes,AS Red Star 93,6 , 2
4,EAC Roubaix,Olympique Lillois,2 , 1
4,RC Paris,FC Mulhouse,2 , 3
4,FC Sète 34,FC Sochaux-Montbéliard,1 , 1
5,FC Sochaux-Montbéliard,SC Fives,2 , 1
5,FC Mulhouse,Stade Rennais FC,2 , 2
5,Olympique Lillois,Olympique de Marseille,5 , 0
5,FC Antibes,FC Sète 34,1 , 0
5,AS Red Star 93,RC Paris,1 , 2
5,Olympique d'Alès,EAC Roubaix,0 , 3
5,RC Strasbourg,SC Nîmois,3 , 0
5,SO Montpellier,AS Cannes,2 , 3
6,FC Sochaux-Montbéliard,SC Nîmois,1 , 0
6,Olympique d'Alès,FC Sète 34,3 , 0
6,RC Paris,RC Strasbourg,2 , 2
6,SO Montpellier,EAC Roubaix,0 , 2
6,AS Cannes,FC Mulhouse,5 , 0
6,SC Fives,Olympique Lillois,2 , 1
6,Stade Rennais FC,FC Antibes,4 , 1
6,Olympique de Marseille,AS Red Star 93,4 , 3
7,FC Sochaux-Montbéliard,AS Red Star 93,4 , 3
7,FC Mulhouse,Olympique d'Alès,2 , 0
7,Olympique Lillois,RC Strasbourg,2 , 1
7,FC Antibes,SO Montpellier,4 , 0
7,Stade Rennais FC,EAC Roubaix,0 , 1
7,SC Nîmois,Olympique de Marseille,1 , 1
7,FC Sète 34,AS Cannes,1 , 1
7,RC Paris,SC Fives,7 , 0
8,SO Montpellier,FC Sochaux-Montbéliard,0 , 4
8,AS Red Star 93,FC Mulhouse,3 , 1
8,Olympique d'Alès,Olympique Lillois,3 , 1
8,RC Strasbourg,FC Antibes,6 , 1
8,SC Fives,Stade Rennais FC,4 , 1
8,EAC Roubaix,Olympique de Marseille,0 , 3
8,SC Nîmois,FC Sète 34,1 , 3
8,AS Cannes,RC Paris,0 , 2
9,FC Sochaux-Montbéliard,RC Paris,3 , 1
9,EAC Roubaix,FC Mulhouse,1 , 2
9,Olympique Lillois,SC Nîmois,3 , 1
9,AS Cannes,FC Antibes,3 , 1
9,AS Red Star 93,SC Fives,5 , 2
9,Stade Rennais FC,Olympique d'Alès,6 , 0
9,Olympique de Marseille,RC Strasbourg,1 , 1
9,SO Montpellier,FC Sète 34,0 , 2
10,FC Sochaux-Montbéliard,RC Strasbourg,2 , 3
10,Olympique Lillois,AS Red Star 93,0 , 4
10,Stade Rennais FC,AS Cannes,3 , 0
10,FC Sète 34,EAC Roubaix,2 , 2
10,FC Mulhouse,SO Montpellier,4 , 1
10,FC Antibes,Olympique d'Alès,1 , 0
10,Olympique de Marseille,SC Fives,5 , 1
10,RC Paris,SC Nîmois,2 , 0
11,RC Strasbourg,FC Mulhouse,4 , 2
11,Olympique d'Alès,FC Sochaux-Montbéliard,0 , 5
11,SO Montpellier,Olympique Lillois,1 , 3
11,RC Paris,FC Antibes,5 , 1
11,SC Nîmois,Stade Rennais FC,1 , 2
11,AS Cannes,Olympique de Marseille,3 , 0
11,SC Fives,FC Sète 34,1 , 2
11,EAC Roubaix,AS Red Star 93,2 , 0
12,FC Sochaux-Montbéliard,FC Mulhouse,8 , 0
12,Olympique Lillois,FC Antibes,10 , 0
12,AS Red Star 93,Olympique d'Alès,3 , 1
12,RC Strasbourg,SO Montpellier,2 , 1
12,AS Cannes,SC Fives,2 , 0
12,SC Nîmois,EAC Roubaix,1 , 1
12,Stade Rennais FC,Olympique de Marseille,1 , 1
12,FC Sète 34,RC Paris,2 , 2
13,FC Antibes,FC Sochaux-Montbéliard,1 , 1
13,FC Mulhouse,Olympique Lillois,1 , 0
13,SO Montpellier,AS Red Star 93,0 , 3
13,Olympique d'Alès,RC Strasbourg,1 , 5
13,SC Fives,EAC Roubaix,0 , 0
13,SC Nîmois,AS Cannes,1 , 2
13,RC Paris,Stade Rennais FC,2 , 1
13,Olympique de Marseille,FC Sète 34,1 , 1
14,FC Sochaux-Montbéliard,Olympique Lillois,5 , 2
14,FC Antibes,FC Mulhouse,1 , 1
14,RC Strasbourg,AS Red Star 93,5 , 2
14,EAC Roubaix,AS Cannes,2 , 0
14,FC Sète 34,Stade Rennais FC,2 , 0
14,RC Paris,Olympique de Marseille,5 , 1
14,SC Fives,SC Nîmois,3 , 1
14,Olympique d'Alès,SO Montpellier,1 , 1
15,Olympique d'Alès,AS Cannes,5 , 1
15,AS Red Star 93,SC Nîmois,2 , 2
15,SO Montpellier,Stade Rennais FC,4 , 1
15,RC Strasbourg,SC Fives,2 , 1
15,FC Antibes,EAC Roubaix,4 , 2
15,Olympique Lillois,RC Paris,0 , 0
15,FC Mulhouse,FC Sète 34,1 , 1
15,Olympique de Marseille,FC Sochaux-Montbéliard,1 , 3
16,EAC Roubaix,FC Sochaux-Montbéliard,0 , 1
16,AS Cannes,Olympique Lillois,1 , 2
16,SC Nîmois,FC Mulhouse,3 , 2
16,SC Fives,FC Antibes,2 , 1
16,Olympique de Marseille,Olympique d'Alès,3 , 2
16,Stade Rennais FC,AS Red Star 93,3 , 1
16,FC Sète 34,RC Strasbourg,1 , 0
16,RC Paris,SO Montpellier,1 , 0
17,Stade Rennais FC,FC Sochaux-Montbéliard,3 , 3
17,Olympique de Marseille,FC Mulhouse,8 , 3
17,FC Sète 34,Olympique Lillois,3 , 1
17,AS Red Star 93,FC Antibes,2 , 2
17,EAC Roubaix,RC Paris,5 , 3
17,SC Nîmois,Olympique d'Alès,1 , 1
17,AS Cannes,RC Strasbourg,0 , 1
17,SC Fives,SO Montpellier,1 , 0
18,RC Strasbourg,EAC Roubaix,1 , 1
