day,home_team,away_team,home_score,away_score
1,AC Ajaccio,Toulouse FC,0 , 2
1,Stade Brestois 29,Evian TG FC,2 , 2
1,SM Caen,Valenciennes FC,1 , 0
1,Olympique de Marseille,FC Sochaux-Montbéliard,2 , 2
1,Montpellier Hérault SC,AJ Auxerre,3 , 1
1,AS Nancy-Lorraine,LOSC Lille,1 , 1
1,OGC Nice,Olympique Lyonnais,1 , 3
1,Paris Saint-Germain,FC Lorient,0 , 1
1,Dijon FCO,Stade Rennais FC,1 , 5
1,Girondins de Bordeaux,AS Saint-Etienne,1 , 2
2,FC Lorient,Girondins de Bordeaux,1 , 1
2,Olympique Lyonnais,AC Ajaccio,1 , 1
2,Stade Rennais FC,Paris Saint-Germain,1 , 1
2,AS Saint-Etienne,AS Nancy-Lorraine,1 , 0
2,FC Sochaux-Montbéliard,SM Caen,1 , 2
2,Toulouse FC,Dijon FCO,2 , 0
2,Valenciennes FC,Stade Brestois 29,0 , 0
2,AJ Auxerre,Olympique de Marseille,2 , 2
2,Evian TG FC,OGC Nice,1 , 0
2,LOSC Lille,Montpellier Hérault SC,0 , 1
3,Girondins de Bordeaux,AJ Auxerre,1 , 1
3,Stade Brestois 29,Olympique Lyonnais,1 , 1
3,SM Caen,LOSC Lille,1 , 2
3,Dijon FCO,FC Lorient,2 , 0
3,OGC Nice,Toulouse FC,1 , 1
3,AC Ajaccio,Evian TG FC,1 , 1
3,Montpellier Hérault SC,Stade Rennais FC,4 , 0
3,AS Nancy-Lorraine,FC Sochaux-Montbéliard,1 , 2
3,Paris Saint-Germain,Valenciennes FC,2 , 1
3,Olympique de Marseille,AS Saint-Etienne,0 , 0
4,AJ Auxerre,AC Ajaccio,4 , 1
4,Evian TG FC,Dijon FCO,0 , 1
4,FC Lorient,AS Nancy-Lorraine,2 , 1
4,OGC Nice,Stade Brestois 29,0 , 0
4,Valenciennes FC,Girondins de Bordeaux,1 , 2
4,Olympique Lyonnais,Montpellier Hérault SC,2 , 1
4,Stade Rennais FC,SM Caen,3 , 2
4,FC Sochaux-Montbéliard,AS Saint-Etienne,2 , 1
4,Toulouse FC,Paris Saint-Germain,1 , 3
4,LOSC Lille,Olympique de Marseille,3 , 2
5,AC Ajaccio,Valenciennes FC,3 , 1
5,Girondins de Bordeaux,Evian TG FC,0 , 0
5,SM Caen,Toulouse FC,0 , 1
5,Dijon FCO,Olympique Lyonnais,1 , 2
5,AS Saint-Etienne,LOSC Lille,1 , 3
5,FC Sochaux-Montbéliard,FC Lorient,1 , 1
5,Olympique de Marseille,Stade Rennais FC,0 , 1
5,Montpellier Hérault SC,OGC Nice,1 , 0
5,AS Nancy-Lorraine,AJ Auxerre,0 , 0
5,Paris Saint-Germain,Stade Brestois 29,1 , 0
6,AJ Auxerre,SM Caen,1 , 1
6,Stade Brestois 29,Montpellier Hérault SC,2 , 2
6,FC Lorient,AS Saint-Etienne,3 , 0
6,OGC Nice,AC Ajaccio,3 , 0
6,Toulouse FC,Girondins de Bordeaux,3 , 2
6,Valenciennes FC,Dijon FCO,4 , 0
6,LOSC Lille,FC Sochaux-Montbéliard,2 , 2
6,Evian TG FC,Paris Saint-Germain,2 , 2
6,Stade Rennais FC,AS Nancy-Lorraine,1 , 1
6,Olympique Lyonnais,Olympique de Marseille,2 , 0
7,Girondins de Bordeaux,LOSC Lille,1 , 1
7,AC Ajaccio,Montpellier Hérault SC,1 , 3
7,SM Caen,Olympique Lyonnais,1 , 0
7,Dijon FCO,Stade Brestois 29,1 , 0
7,FC Lorient,AJ Auxerre,1 , 1
7,Olympique de Marseille,Evian TG FC,2 , 0
7,AS Nancy-Lorraine,Valenciennes FC,1 , 1
7,Paris Saint-Germain,OGC Nice,2 , 1
7,FC Sochaux-Montbéliard,Stade Rennais FC,2 , 6
7,AS Saint-Etienne,Toulouse FC,1 , 1
8,Evian TG FC,SM Caen,2 , 4
8,LOSC Lille,FC Lorient,1 , 1
8,Olympique Lyonnais,Girondins de Bordeaux,3 , 1
8,OGC Nice,Dijon FCO,1 , 1
8,Toulouse FC,AS Nancy-Lorraine,1 , 0
8,Valenciennes FC,Olympique de Marseille,1 , 1
8,Montpellier Hérault SC,Paris Saint-Germain,0 , 3
8,AJ Auxerre,FC Sochaux-Montbéliard,4 , 1
8,Stade Brestois 29,AC Ajaccio,1 , 1
8,Stade Rennais FC,AS Saint-Etienne,1 , 1
9,SM Caen,OGC Nice,1 , 1
9,Dijon FCO,AC Ajaccio,1 , 1
9,FC Lorient,Valenciennes FC,2 , 0
9,AS Nancy-Lorraine,Evian TG FC,1 , 1
9,AS Saint-Etienne,AJ Auxerre,1 , 1
9,FC Sochaux-Montbéliard,Toulouse FC,3 , 0
9,Girondins de Bordeaux,Montpellier Hérault SC,2 , 2
9,LOSC Lille,Stade Rennais FC,2 , 0
9,Olympique de Marseille,Stade Brestois 29,1 , 1
9,Paris Saint-Germain,Olympique Lyonnais,2 , 0
10,AJ Auxerre,LOSC Lille,1 , 3
10,Stade Brestois 29,SM Caen,1 , 1
10,Evian TG FC,AS Saint-Etienne,1 , 2
