day,home_team,away_team,home_score,away_score
1,AJ Auxerre,FC Lorient,2 , 2
1,RC Lens,AS Nancy-Lorraine,1 , 2
1,Olympique Lyonnais,AS Monaco FC,0 , 0
1,Olympique de Marseille,SM Caen,1 , 2
1,OGC Nice,Valenciennes FC,0 , 0
1,Paris Saint-Germain,AS Saint-Etienne,3 , 1
1,Stade Rennais FC,LOSC Lille,1 , 1
1,FC Sochaux-Montbéliard,AC Arles Avignon,2 , 1
1,Toulouse FC,Stade Brestois 29,2 , 0
1,Montpellier Hérault SC,Girondins de Bordeaux,1 , 0
2,Stade Brestois 29,AJ Auxerre,1 , 1
2,FC Lorient,OGC Nice,1 , 2
2,AS Nancy-Lorraine,Stade Rennais FC,0 , 3
2,AS Saint-Etienne,FC Sochaux-Montbéliard,3 , 2
2,Valenciennes FC,Olympique de Marseille,3 , 2
2,AC Arles Avignon,RC Lens,0 , 1
2,Girondins de Bordeaux,Toulouse FC,1 , 2
2,SM Caen,Olympique Lyonnais,3 , 2
2,LOSC Lille,Paris Saint-Germain,0 , 0
2,AS Monaco FC,Montpellier Hérault SC,0 , 0
3,RC Lens,AS Monaco FC,2 , 2
3,Olympique Lyonnais,Stade Brestois 29,1 , 0
3,Olympique de Marseille,FC Lorient,2 , 0
3,OGC Nice,AS Nancy-Lorraine,1 , 1
3,Stade Rennais FC,AS Saint-Etienne,0 , 0
3,Toulouse FC,AC Arles Avignon,2 , 1
3,AJ Auxerre,Valenciennes FC,1 , 1
3,Montpellier Hérault SC,SM Caen,0 , 0
3,FC Sochaux-Montbéliard,LOSC Lille,0 , 0
3,Paris Saint-Germain,Girondins de Bordeaux,1 , 2
4,AC Arles Avignon,Stade Rennais FC,0 , 1
4,FC Lorient,Olympique Lyonnais,2 , 0
4,AS Nancy-Lorraine,Toulouse FC,0 , 2
4,AS Saint-Etienne,RC Lens,3 , 1
4,Valenciennes FC,Montpellier Hérault SC,0 , 1
4,SM Caen,Stade Brestois 29,0 , 2
4,LOSC Lille,OGC Nice,1 , 1
4,AS Monaco FC,AJ Auxerre,2 , 0
4,FC Sochaux-Montbéliard,Paris Saint-Germain,3 , 1
4,Girondins de Bordeaux,Olympique de Marseille,1 , 1
5,AJ Auxerre,SM Caen,1 , 1
5,Olympique Lyonnais,Valenciennes FC,1 , 1
5,Montpellier Hérault SC,AS Nancy-Lorraine,1 , 2
5,Paris Saint-Germain,AC Arles Avignon,4 , 0
5,Stade Rennais FC,FC Sochaux-Montbéliard,2 , 1
5,Toulouse FC,AS Saint-Etienne,0 , 1
5,RC Lens,LOSC Lille,1 , 4
5,Stade Brestois 29,FC Lorient,0 , 0
5,OGC Nice,Girondins de Bordeaux,2 , 1
5,Olympique de Marseille,AS Monaco FC,2 , 2
6,FC Lorient,SM Caen,0 , 1
6,AS Monaco FC,Toulouse FC,0 , 0
6,AS Nancy-Lorraine,Stade Brestois 29,0 , 2
6,AS Saint-Etienne,Montpellier Hérault SC,3 , 0
6,FC Sochaux-Montbéliard,OGC Nice,4 , 0
6,Valenciennes FC,RC Lens,1 , 1
6,AC Arles Avignon,Olympique de Marseille,0 , 3
6,LOSC Lille,AJ Auxerre,1 , 0
6,Paris Saint-Germain,Stade Rennais FC,0 , 0
6,Girondins de Bordeaux,Olympique Lyonnais,2 , 0
7,AJ Auxerre,AS Nancy-Lorraine,2 , 2
7,SM Caen,Girondins de Bordeaux,0 , 0
7,FC Lorient,AS Monaco FC,2 , 1
7,Olympique de Marseille,FC Sochaux-Montbéliard,2 , 1
7,Montpellier Hérault SC,AC Arles Avignon,3 , 1
7,OGC Nice,Stade Rennais FC,1 , 2
7,Olympique Lyonnais,AS Saint-Etienne,0 , 1
7,Stade Brestois 29,Valenciennes FC,1 , 0
7,Toulouse FC,LOSC Lille,1 , 1
7,RC Lens,Paris Saint-Germain,0 , 2
8,AC Arles Avignon,AJ Auxerre,0 , 4
8,Girondins de Bordeaux,FC Lorient,1 , 0
8,AS Monaco FC,Stade Brestois 29,0 , 1
8,AS Nancy-Lorraine,Olympique Lyonnais,2 , 3
8,FC Sochaux-Montbéliard,RC Lens,3 , 0
8,Valenciennes FC,SM Caen,2 , 1
8,AS Saint-Etienne,Olympique de Marseille,1 , 1
8,LOSC Lille,Montpellier Hérault SC,3 , 1
8,Paris Saint-Germain,OGC Nice,0 , 0
8,Stade Rennais FC,Toulouse FC,3 , 1
9,AJ Auxerre,Girondins de Bordeaux,0 , 1
9,Stade Brestois 29,AC Arles Avignon,0 , 0
9,SM Caen,AS Monaco FC,0 , 0
9,Olympique de Marseille,AS Nancy-Lorraine,1 , 0
9,Montpellier Hérault SC,FC Sochaux-Montbéliard,2 , 0
9,Toulouse FC,Paris Saint-Germain,0 , 2
9,RC Lens,Stade Rennais FC,0 , 0
9,FC Lorient,Valenciennes FC,2 , 1
9,OGC Nice,AS Saint-Etienne,2 , 1
9,Olympique Lyonnais,LOSC Lille,3 , 1
10,Girondins de Bordeaux,Stade Brestois 29,0 , 2
10,RC Lens,OGC Nice,1 , 0
10,AS Monaco FC,Valenciennes FC,0 , 2
10,AS Nancy-Lorraine,FC Lorient,1 , 0
10,Stade Rennais FC,Montpellier Hérault SC,0 , 1
10,AS Saint-Etienne,SM Caen,1 , 1
10,FC Sochaux-Montbéliard,Toulouse FC,1 , 3
10,AC Arles Avignon,Olympique Lyonnais,1 , 1
10,Paris Saint-Germain,AJ Auxerre,2 , 3
10,LOSC Lille,Olympique de Marseille,1 , 3
11,AJ Auxerre,OGC Nice,2 , 0
11,Stade Brestois 29,AS Saint-Etienne,2 , 0
11,SM Caen,AS Nancy-Lorraine,2 , 3
11,FC Lorient,AC Arles Avignon,2 , 0
11,Olympique Lyonnais,FC Sochaux-Montbéliard,2 , 1
11,Toulouse FC,RC Lens,1 , 1
11,Valenciennes FC,LOSC Lille,1 , 1
11,Montpellier Hérault SC,Paris Saint-Germain,1 , 1
11,AS Monaco FC,Girondins de Bordeaux,2 , 2
11,Olympique de Marseille,Stade Rennais FC,0 , 0
12,AC Arles Avignon,SM Caen,3 , 2
12,Girondins de Bordeaux,Valenciennes FC,1 , 1
12,AS Saint-Etienne,FC Lorient,1 , 2
12,FC Sochaux-Montbéliard,AJ Auxerre,1 , 1
12,Stade Rennais FC,Olympique Lyonnais,1 , 1
12,RC Lens,Montpellier Hérault SC,2 , 0
12,LOSC Lille,Stade Brestois 29,3 , 1
12,AS Nancy-Lorraine,AS Monaco FC,0 , 4
12,OGC Nice,Toulouse FC,2 , 0
12,Paris Saint-Germain,Olympique de Marseille,2 , 1
13,Girondins de Bordeaux,AS Nancy-Lorraine,2 , 1
13,Stade Brestois 29,FC Sochaux-Montbéliard,1 , 1
