day,home_team,away_team,home_score,away_score
1,Valenciennes FC,AS Saint-Etienne,1 , 1
1,Paris Saint-Germain,Olympique Lyonnais,2 , 4
1,Angers SCO,AS Nancy-Lorraine,3 , 1
1,SC Bastia,Stade Lavallois,3 , 1
1,FC Sochaux-Montbéliard,OGC Nice,1 , 2
1,FC Metz,FC Nantes,1 , 2
1,LOSC Lille,Stade de Reims,2 , 1
1,Stade Rennais FC,Nîmes Olympique,0 , 1
1,ESTAC Troyes,Girondins de Bordeaux,0 , 1
1,Olympique de Marseille,RC Lens,2 , 2
2,FC Nantes,Olympique de Marseille,3 , 0
2,Nîmes Olympique,Angers SCO,3 , 1
2,OGC Nice,Paris Saint-Germain,1 , 0
2,Girondins de Bordeaux,LOSC Lille,2 , 1
2,AS Nancy-Lorraine,Olympique Lyonnais,0 , 0
2,RC Lens,SC Bastia,4 , 3
2,Stade de Reims,Stade Rennais FC,3 , 0
2,Stade Lavallois,FC Sochaux-Montbéliard,0 , 2
2,Valenciennes FC,ESTAC Troyes,1 , 2
2,AS Saint-Etienne,FC Metz,0 , 0
3,LOSC Lille,OGC Nice,0 , 2
3,Olympique Lyonnais,Nîmes Olympique,4 , 0
3,SC Bastia,FC Nantes,3 , 0
3,Angers SCO,Stade de Reims,1 , 2
3,FC Sochaux-Montbéliard,Girondins de Bordeaux,1 , 0
3,ESTAC Troyes,Stade Lavallois,2 , 1
3,Stade Rennais FC,RC Lens,2 , 1
3,Olympique de Marseille,AS Saint-Etienne,1 , 0
3,Paris Saint-Germain,AS Nancy-Lorraine,2 , 0
3,FC Metz,Valenciennes FC,2 , 2
4,OGC Nice,Angers SCO,4 , 1
4,Stade de Reims,Olympique Lyonnais,1 , 1
4,FC Nantes,ESTAC Troyes,2 , 1
4,Girondins de Bordeaux,Stade Rennais FC,2 , 1
4,SC Bastia,AS Saint-Etienne,1 , 1
4,RC Lens,FC Sochaux-Montbéliard,2 , 1
4,Nîmes Olympique,AS Nancy-Lorraine,2 , 2
4,Valenciennes FC,Olympique de Marseille,3 , 1
4,FC Metz,LOSC Lille,3 , 1
4,Stade Lavallois,Paris Saint-Germain,2 , 1
5,Stade Rennais FC,OGC Nice,0 , 0
5,FC Sochaux-Montbéliard,FC Nantes,2 , 6
5,SC Bastia,Valenciennes FC,4 , 0
5,Olympique Lyonnais,RC Lens,3 , 3
5,Nîmes Olympique,Paris Saint-Germain,3 , 0
5,Angers SCO,Girondins de Bordeaux,0 , 0
5,AS Nancy-Lorraine,Stade de Reims,4 , 2
5,ESTAC Troyes,AS Saint-Etienne,0 , 0
5,Olympique de Marseille,FC Metz,3 , 1
5,LOSC Lille,Stade Lavallois,3 , 3
6,OGC Nice,AS Nancy-Lorraine,2 , 0
6,FC Nantes,Angers SCO,3 , 0
6,Girondins de Bordeaux,Olympique Lyonnais,1 , 2
6,Paris Saint-Germain,SC Bastia,2 , 2
6,RC Lens,LOSC Lille,4 , 2
6,Stade de Reims,Nîmes Olympique,2 , 0
6,AS Saint-Etienne,FC Sochaux-Montbéliard,2 , 0
6,FC Metz,ESTAC Troyes,2 , 1
6,Valenciennes FC,Stade Rennais FC,2 , 0
6,Stade Lavallois,Olympique de Marseille,2 , 1
