1,FC Martigues,NA,0
1,GF38,NA,0
1,Stade Brestois 29,NA,0
1,Stade de Reims,NA,0
1,AS Cannes,0.993399267798783,0.986842105263158
1,LOSC Lille,0.655932026815556,0.430246823802363
1,Havre AC,0.650443635587991,0.423076923076923
1,AS Saint-Etienne,0.606780113217301,0.368182105796001
1,FC Metz,0.580887071671799,0.337429790035438
1,Olympique Lyonnais,0.569773368897186,0.324641691904449
1,Paris Saint-Germain,0.426092274272154,0.181554626194416
1,AS Monaco FC,0.35808238788815,0.128222996515679
1,AC Ajaccio,0.293294230042707,0.0860215053763432
1,AJ Auxerre,0.267248337733357,0.0714216740212423
1,CS Sedan,0.209677419354839,0.0439646201873049
1,Girondins de Bordeaux,0.201340723266227,0.0405380868453672
1,Stade Rennais FC,0.197864273490352,0.039150270723865
1,FC Sochaux-Montbéliard,0.188960791282308,0.0357061806420362
1,SC Bastia,0.164891678191239,0.0271892655367231
1,Olympique de Marseille,0.160072191939182,0.0256231066322141
1,Montpellier Hérault SC,0.105463207828544,0.0111224882054867
1,Le Mans FC,0.0730296743340221,0.00533333333333333
1,FC Nantes,0.017564483520078,0.000308511081327127
1,RC Strasbourg,0.0110717112033866,0.000122582788971196
1,AS Nancy-Lorraine,0.00527743064339025,2.78512741957924e-05
1,Valenciennes FC,-0.586778444635989,0.344308943089431
1,EA Guingamp,-0.443600102247097,0.196781050713635
1,FC Lorient,-0.370703430080175,0.137421033073207
1,OGC Nice,-0.315785829113509,0.0997206898689063
1,RC Lens,-0.193182782951447,0.0373195876288659
1,ESTAC Troyes,-0.134839972492648,0.0181818181818182
1,Toulouse FC,-0.0686875596569889,0.00471798085163238
1,SM Caen,-1,1
1,Evian TG FC,-1,1
