start	name	team_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2015	Adrien Regattin	Toulouse	0	89.0	63.4	140.61758059012683	17.336666346215466	1	1	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	75.9	48.5	86.4384669110369	24.14663537638318	0	1	1	0	0	0	0
2015	Adrien Regattin	Toulouse	0	79.0	30.7	47.4155114648129	28.521746089606786	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	1	75.1	63.1	117.74905611521503	28.13574239290658	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	74.7	68.1	125.58049974178375	31.10787681600915	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	79.2	69.5	133.1523897340054	28.5112258592997	0	1	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	85.9	62.8	132.23321159883048	19.04337155022712	0	1	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	69.8	72.3	126.44255292624848	37.5410442049765	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	79.2	72.4	137.12109639666147	30.56795707926848	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	75.9	70.7	130.65997927403558	31.76948221170751	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	90.8	74.8	159.64677085193117	26.451464987784703	0	0	0	0	0	0	0
2015	Adrien Regattin	Toulouse	0	80.3	80.3	146.9694863730682	36.141112323778856	0	0	0	1	0	0	0
2015	Adrien Regattin	Toulouse	0	85.1	39.7	55.34485748147522	18.113530854032852	0	0	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	70.3	36.8	66.03751102542181	32.501230745927145	0	0	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	82.2	34.4	48.76852970913538	23.66854452643846	0	0	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	88.2	33.8	36.06940989958099	20.041955992367612	0	1	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	76.2	36.4	60.25511870305777	27.411676344215067	0	0	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	70.2	38.0	68.06611495893696	32.12537937519182	0	0	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	78.9	53.4	99.15380945384435	21.372178176311365	0	0	0	0	0	0	0
2015	Adrien Thomasson	Nantes	1	98.0	49.7	81.46923439005195	2.022374841615668	0	1	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	93.7	48.1	73.2173558547293	6.580273550544837	1	1	0	0	0	0	1
2015	Adrien Thomasson	Nantes	0	79.0	52.3	96.25033957778048	21.12557691519926	0	1	0	0	0	0	0
2015	Adrien Thomasson	Nantes	0	87.2	36.4	43.2642954110716	18.676188047886	0	1	0	0	0	0	0
2015	Adryan	Nantes	0	76.7	63.8	120.63718501118736	27.08006646963777	0	0	0	0	0	0	1
2015	Adryan	Nantes	0	67.6	45.2	81.57303097851934	32.75362575349484	0	0	0	0	0	0	0
2015	Adryan	Nantes	0	74.5	51.7	93.81407483429037	25.556603843233944	0	0	0	0	0	0	0
2015	Adryan	Nantes	0	76.0	29.9	50.053826050064366	31.305111403730862	0	0	0	0	0	0	0
2015	Aissa Mandi	Reims	0	90.1	58.5	130.6489220484261	13.048371545905646	1	1	1	0	0	0	0
2015	Aissa Mandi	Reims	0	68.8	38.2	69.28312494454471	33.35685836525976	0	0	0	0	0	0	0
2015	Alaeddine Yahia	Caen	0	92.2	50.0	90.0	7.799999999999997	0	1	0	0	0	0	0
2015	Alaeddine Yahia	Caen	0	95.3	47.6	62.94940299291391	5.277309920783507	1	1	1	0	0	0	0
2015	Alaeddine Yahia	Caen	0	95.6	47.2	57.52880770915157	5.215361924162122	1	1	1	0	0	0	0
2015	Alaeddine Yahia	Caen	0	94.3	46.4	57.724355685422374	6.741661516273273	0	1	1	0	0	0	0
2015	Alaeddine Yahia	Caen	0	89.7	48.7	82.80652994470448	10.381714694596454	1	0	0	0	0	0	0
2015	Alaeddine Yahia	Caen	0	93.4	43.6	45.88140399658212	9.193475947648958	1	1	1	0	0	0	0
2015	Alaeddine Yahia	Caen	0	90.8	50.5	93.11084065349077	9.213576938409972	1	1	0	0	0	0	0
2015	Alaeddine Yahia	Caen	0	91.3	45.0	60.11347305957598	10.034440691936949	1	1	0	0	0	0	0
2015	Alassane Pléa	Nice	0	67.0	38.5	70.78732818281436	34.9463875100131	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	95.0	55.2	136.12330271407544	7.2138755187485755	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	77.1	74.4	136.8163821565303	33.4629646026768	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	1	78.6	56.2	106.15733986458794	22.2800359066138	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	72.2	33.3	59.005944274815874	32.43038698504845	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	90.5	56.2	123.12973546841212	11.344161493913951	0	1	1	0	0	0	0
2015	Alassane Pléa	Nice	1	81.5	39.3	59.95583993007401	21.371476317746513	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	85.2	52.4	99.21102654081668	14.993331851193046	1	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	86.8	55.8	113.72039557230458	14.41804425017485	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	90.8	51.7	100.46917425771143	9.35574689696125	1	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	73.2	60.6	111.57990628762005	28.820131852578328	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	88.5	39.3	47.063819728456956	15.707959765672946	0	1	0	0	0	0	0
2015	Alassane Pléa	Nice	0	90.2	68.9	152.5924245621816	21.28966885604377	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	85.7	73.0	148.1291663203487	27.083020511013906	0	0	0	0	0	0	0
2015	Alassane Pléa	Nice	0	82.6	37.6	54.52466797179001	21.366328650472457	0	0	0	0	0	0	0
