"goal";"degree";"distance";"start_x";"start_y";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
0;102.875001559612;10.7707938426097;89.5;52.4;1;1;0;0;0;0;0
0;37.9024241564298;36.6259470867307;77.5;21.1;0;0;0;0;0;0;0
0;112.590162628507;29.6769270646406;72.6;61.4;0;0;0;0;0;0;0
1;96.604835496754;9.56347217280419;90.5;51.1;1;1;0;0;0;0;0
0;84.4470289669632;7.23394774656273;92.8;49.3;1;1;1;0;0;0;0
0;72.328949638008;23.7191905426808;77.4;42.8;0;0;0;0;0;0;0
0;79.0771952801308;23.22068043792;77.2;45.6;0;0;0;0;0;0;0
0;18.7185889786798;12.7757582945201;95.9;37.9;0;1;1;0;0;0;0
0;147.13481471172;21.191743675309;88.5;67.8;0;0;0;0;0;0;0
0;143.955764996927;24.9825939405819;85.3;70.2;0;0;0;0;0;0;0
0;140.659481840162;7.8873316146844;95;56.1;1;1;1;0;0;0;0
0;95.4291589072171;24.3090518120308;75.8;52.3;0;0;0;0;0;0;0
0;76.8188539283403;27.6278844647939;73.1;43.7;0;0;0;0;0;0;0
0;55.8403054543306;20.3027091788264;83.2;38.6;0;0;0;0;0;0;0
0;119.824606356128;26.7419146659322;76.8;63.3;0;0;0;0;0;0;0
0;88.5056664087335;23.007824755939;77;49.4;0;0;0;0;0;0;0
0;108.631166478816;18.4678098322459;82.5;55.9;0;0;0;0;0;0;0
0;135.278132667296;29.1331426385826;79.5;70.7;0;0;0;0;0;0;0
0;75.4547972588257;19.1125613144863;81.5;45.2;0;0;0;0;0;0;0
0;95.0709848215496;29.4151321601655;70.7;52.6;0;0;0;0;0;0;0
0;121.806871124058;24.4754979520336;79.2;62.9;0;0;0;0;0;0;0
0;114.495020524037;18.5714835164022;83.1;57.7;0;0;0;0;0;0;0
0;148.355340962907;30.3059400118195;84.1;75.8;0;0;0;0;0;0;0
0;33.6900675259798;10.816653826392;94;41;1;0;0;0;0;0;0
0;59.341237132078;22.5523834660552;80.6;38.5;0;1;0;0;0;0;1
0;151.290339231925;32.26670110191;84.5;78.3;0;0;0;0;0;0;0
0;144.782407031807;18.7277868420163;89.2;65.3;0;0;0;0;0;0;0
1;163.967660646064;18.1041431722134;95;67.4;0;0;0;0;0;0;0
0;128.107576877515;6.48151216923952;94.9;54;0;1;1;0;0;0;0
0;49.3323139831885;9.36055553906925;92.9;43.9;1;1;1;0;0;0;0
0;101.260066708096;22.5337524615853;77.9;54.4;0;0;0;0;0;0;0
0;56.7847485062628;10.0404183179786;91.6;44.5;1;1;1;0;0;0;0
0;104.13756215898;27.4308220802804;73.4;56.7;0;0;0;0;0;0;0
0;150.417046994061;26.3326793167729;87;72.9;0;0;0;0;0;0;0
0;89.0608090542644;24.4032784682714;75.6;49.6;0;0;0;0;0;0;0
1;69.7751405688319;2.02484567313167;98.1;49.3;0;0;0;0;0;0;0
0;63.0939065440632;7.51332150250474;93.3;46.6;0;0;0;0;0;0;0
1;10.8193984019788;22.9072041070053;95.7;27.5;0;0;0;0;1;1;0
0;119.855437415427;25.7124483470556;77.7;62.8;0;1;0;0;0;0;0
0;40.7777697938573;21.1291268158436;86.2;34;0;0;0;0;0;0;0
0;60.9652557890402;28.0215988123447;75.5;36.4;0;0;0;0;0;0;0
0;143.130102354156;20;88;66;1;1;0;0;0;0;0
1;95.5721978039638;4.11946598480919;95.9;50.4;1;1;1;0;0;0;0
0;123.69006752598;7.57165767847438;93.7;54.2;1;1;0;0;0;0;0
0;141.540385828197;22.3486017459706;86.1;67.5;0;0;0;0;0;0;0
0;98.7778173861372;27.5223545504377;72.8;54.2;0;0;0;0;0;0;0
0;131.558740711291;31.806445887587;76.2;71.1;0;0;0;0;0;0;0
0;110.756479412755;23.4200768572607;78.1;58.3;0;0;0;0;0;0;0
0;104.420773127511;25.2970353994297;75.5;56.3;0;0;0;0;0;0;0
0;46.8060252976012;31.4111445191034;77.1;28.5;0;0;0;0;0;0;0
0;47.1858008067756;9.26984358012582;93.2;43.7;1;1;0;0;0;0;0
0;76.3099503825345;24.0842272037116;76.6;44.3;0;0;0;0;0;0;0
0;134.050433143564;25.6007812380794;81.6;67.8;0;0;0;0;0;0;0
0;83.4579618537881;21.9428803943329;78.2;47.5;0;0;0;0;0;0;0
0;131.235965135094;10.7712580509428;91.9;57.1;0;0;0;0;0;0;0
