start;day;home;away;first_t1;first_t2;second_t1;second_t2;t1_rank;t2_rank;result_first_t1;result_first_t2;result_second_t1;result_second_t2;result_projection_second_t1;result_projection_second_t2
2013;12;Evian TG FC;Toulouse FC;2;1;1;1;16;12;3;0;1;1;1.14;1.16
2013;12;AC Ajaccio;Valenciennes FC;1;3;3;2;20;18;0;3;3;0;0.9;1.81
2013;12;FC Sochaux-Montbéliard;AS Saint-Etienne;0;0;1;3;19;4;1;1;0;3;1;1.67
2013;12;Olympique Lyonnais;EA Guingamp;2;0;1;0;10;13;3;0;3;0;1.14;1.16
2013;12;LOSC Lille;AS Monaco FC;2;0;1;1;3;2;3;0;1;1;1.14;1.16
2013;13;Paris Saint-Germain;OGC Nice;3;1;1;0;1;14;3;0;3;0;1.14;1.16
2013;13;Olympique de Marseille;FC Sochaux-Montbéliard;2;1;1;1;6;19;3;0;1;1;1.14;1.16
2013;13;Toulouse FC;AC Ajaccio;1;1;2;2;12;20;1;1;1;1;1;1.67
2013;13;AS Monaco FC;Evian TG FC;1;1;0;1;2;16;1;1;0;3;1;1.67
2013;13;Valenciennes FC;Montpellier Hérault SC;1;1;0;0;18;17;1;1;1;1;1;1.67
2013;13;Girondins de Bordeaux;FC Nantes;0;3;0;0;5;8;0;3;1;1;0.9;1.81
2013;13;FC Lorient;Stade de Reims;0;0;1;1;9;7;1;1;1;1;1;1.67
2013;13;SC Bastia;Stade Rennais FC;1;0;0;3;11;15;3;0;0;3;1.14;1.16
2013;13;EA Guingamp;LOSC Lille;0;0;0;1;13;3;1;1;0;3;1;1.67
2013;13;AS Saint-Etienne;Olympique Lyonnais;1;2;2;1;4;10;0;3;3;0;0.9;1.81
2013;14;AC Ajaccio;Olympique de Marseille;1;3;1;3;20;6;0;3;0;3;0.9;1.81
2013;14;Stade de Reims;Paris Saint-Germain;0;3;0;3;7;1;0;3;0;3;0.9;1.81
2013;14;FC Sochaux-Montbéliard;SC Bastia;1;1;2;2;19;11;1;1;1;1;1;1.67
2013;14;Stade Rennais FC;Girondins de Bordeaux;1;1;2;2;15;5;1;1;1;1;1;1.67
2013;14;Montpellier Hérault SC;EA Guingamp;1;1;2;1;17;13;1;1;3;0;1;1.67
2013;14;Evian TG FC;FC Lorient;0;4;1;1;16;9;0;3;1;1;0.9;1.81
2013;14;LOSC Lille;Toulouse FC;1;0;2;1;3;12;3;0;3;0;1.14;1.16
2013;14;OGC Nice;AS Saint-Etienne;0;1;1;1;14;4;0;3;1;1;0.9;1.81
2013;14;Olympique Lyonnais;Valenciennes FC;1;1;2;1;10;18;1;1;3;0;1;1.67
2013;14;FC Nantes;AS Monaco FC;0;1;1;3;8;2;0;3;0;3;0.9;1.81
2013;15;Olympique de Marseille;Montpellier Hérault SC;2;0;3;2;6;17;3;0;3;0;1.14;1.16
2013;15;Valenciennes FC;LOSC Lille;0;1;0;1;18;3;0;3;0;3;0.9;1.81
2013;15;Girondins de Bordeaux;AC Ajaccio;4;0;1;1;5;20;3;0;1;1;1.14;1.16
2013;15;SC Bastia;Evian TG FC;2;0;1;2;11;16;3;0;0;3;1.14;1.16
2013;15;FC Lorient;OGC Nice;3;0;2;1;9;14;3;0;3;0;1.14;1.16
2013;15;AS Monaco FC;Stade Rennais FC;2;0;1;0;2;15;3;0;3;0;1.14;1.16
2013;15;Toulouse FC;FC Sochaux-Montbéliard;5;1;0;2;12;19;3;0;0;3;1.14;1.16
2013;15;EA Guingamp;FC Nantes;1;0;0;1;13;8;3;0;0;3;1.14;1.16
2013;15;AS Saint-Etienne;Stade de Reims;4;0;2;2;4;7;3;0;1;1;1.14;1.16
2013;15;Paris Saint-Germain;Olympique Lyonnais;4;0;0;1;1;10;3;0;0;3;1.14;1.16
2013;16;Stade Rennais FC;AS Saint-Etienne;3;1;0;0;15;4;3;0;1;1;1.14;1.16
2013;16;OGC Nice;AS Monaco FC;0;3;0;1;14;2;0;3;0;3;0.9;1.81
2013;16;AC Ajaccio;SC Bastia;1;1;1;2;20;11;1;1;0;3;1;1.67
2013;16;EA Guingamp;Girondins de Bordeaux;0;1;1;5;13;5;0;3;0;3;0.9;1.81
