2017-01-15 19:03:56,604 - INFO    - START
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:106: RuntimeWarning: overflow encountered in exp
  return 1/(1+np.exp(-values))
2017-01-15 19:28:02,488 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 100, reg_lambda: 0.01 -> 0.0732662910608 (445.0 goals/102.515323496 expg)
2017-01-15 19:28:06,533 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 100, reg_lambda: 0.001 -> 0.0834715620849 (445.0 goals/54.8159254965 expg)
2017-01-15 19:28:10,315 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 100, reg_lambda: 0.0001 -> 0.0904778044377 (445.0 goals/22.0687482771 expg)
2017-01-15 19:28:14,314 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 100, reg_lambda: 1e-05 -> 0.0796561682658 (445.0 goals/72.6490757202 expg)
2017-01-15 19:28:29,362 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 1 -> 0.0943222743176 (445.0 goals/4.1 expg)
2017-01-15 19:28:46,317 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.1 -> 0.0831703246088 (445.0 goals/56.2289430908 expg)
2017-01-15 19:29:02,787 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.01 -> 0.0713663601353 (445.0 goals/111.395600642 expg)
2017-01-15 19:29:19,749 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.001 -> 0.0834003419052 (445.0 goals/55.1488112134 expg)
2017-01-15 19:29:36,899 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.0001 -> 0.0750674041412 (445.0 goals/94.11044189 expg)
2017-01-15 19:29:53,384 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 1e-05 -> 0.0840201193598 (445.0 goals/52.2519713933 expg)
2017-01-15 19:30:22,771 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 1 -> 0.0943222743176 (445.0 goals/4.1 expg)
2017-01-15 19:30:53,827 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.1 -> 0.0877967548322 (445.0 goals/34.6 expg)
2017-01-15 19:31:21,191 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.01 -> 0.0712114728044 (445.0 goals/112.119544038 expg)
2017-01-15 19:31:46,236 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.001 -> 0.0825583347848 (445.0 goals/59.0843488386 expg)
2017-01-15 19:32:10,770 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.0001 -> 0.0804439181331 (445.0 goals/68.9818500364 expg)
2017-01-15 19:32:36,066 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 1e-05 -> 0.071356736559 (445.0 goals/111.440619943 expg)
2017-01-15 19:33:19,683 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 1 -> 0.0943222743176 (445.0 goals/4.1 expg)
2017-01-15 19:34:05,738 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.1 -> 0.0877967548322 (445.0 goals/34.6 expg)
2017-01-15 19:34:58,989 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.01 -> 0.0705271246645 (445.0 goals/115.318187237 expg)
2017-01-15 19:35:49,668 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.001 -> 0.090585381141 (445.0 goals/21.5659270257 expg)
2017-01-15 19:36:39,264 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.0001 -> 0.0851022893525 (445.0 goals/47.2039645855 expg)
2017-01-15 19:37:29,129 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 1e-05 -> 0.0713621697907 (445.0 goals/111.415219224 expg)
2017-01-15 19:38:54,909 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 1 -> 0.0943222743176 (445.0 goals/4.1 expg)
2017-01-15 19:40:25,543 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.1 -> 0.0877967548322 (445.0 goals/34.6 expg)
2017-01-15 19:42:09,517 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.01 -> 0.066054838724 (445.0 goals/151.506742536 expg)
2017-01-15 19:43:50,928 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.001 -> 0.0711876719611 (445.0 goals/112.243073705 expg)
2017-01-15 19:45:31,521 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.0001 -> 0.0828796882893 (445.0 goals/57.5946245563 expg)
2017-01-15 19:47:13,463 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 1e-05 -> 0.0713668116382 (445.0 goals/111.393517413 expg)
2017-01-15 19:47:16,570 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 1 -> 0.0396540642081 (445.0 goals/259.6425198 expg)
2017-01-15 19:47:19,647 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.1 -> 0.0221862586176 (445.0 goals/380.864419793 expg)
2017-01-15 19:47:22,647 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.01 -> 0.0272549804853 (445.0 goals/335.669091386 expg)
2017-01-15 19:47:25,425 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.001 -> 0.0296218547261 (445.0 goals/306.538122128 expg)
2017-01-15 19:47:28,420 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.0001 -> 0.0203201455788 (445.0 goals/360.757287274 expg)
