2017-02-26 21:20:54,938 - INFO    - START
project/nn_xval.py:47: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))

2017-02-26 21:25:36,873 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 100, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:40,423 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:43,991 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:47,462 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:51,024 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:54,591 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:58,137 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 500, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:04,638 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:11,180 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:17,465 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:23,863 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:30,192 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:36,518 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 1000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:26:48,664 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:27:00,757 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:27:12,797 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:27:24,825 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:27:37,093 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:27:49,342 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 2000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:28:14,822 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:28:39,407 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:29:04,381 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:29:29,232 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:29:54,572 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:20,296 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 4000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:21,454 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:22,660 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:23,846 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:25,062 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:26,216 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:27,377 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:30,940 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:34,549 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:38,101 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:41,619 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:45,226 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:48,817 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:30:55,481 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:02,403 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:09,184 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:15,863 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:22,599 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:29,315 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:41,913 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:31:54,612 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:32:07,039 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
