2017-01-16 11:01:39,146 - INFO    - START
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:106: RuntimeWarning: overflow encountered in exp
  return 1/(1+np.exp(-values))
2017-01-16 11:01:41,257 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 100, reg_lambda: 1 -> 0.404800679147 (445.0 goals/2337.2 expg)
2017-01-16 11:01:43,176 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 100, reg_lambda: 0.1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:01:45,282 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 100, reg_lambda: 0.01 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:01:47,709 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 100, reg_lambda: 0.001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:01:50,929 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 100, reg_lambda: 0.0001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:01:53,567 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 100, reg_lambda: 1e-05 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:02:02,373 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 500, reg_lambda: 1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:02:10,745 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 500, reg_lambda: 0.1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:02:19,881 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 500, reg_lambda: 0.01 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:02:29,596 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 500, reg_lambda: 0.001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:02:40,725 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 500, reg_lambda: 0.0001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:02:52,473 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 500, reg_lambda: 1e-05 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:03:13,584 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 1000, reg_lambda: 1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:03:35,966 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 1000, reg_lambda: 0.1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:04:02,416 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 1000, reg_lambda: 0.01 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:04:33,494 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 1000, reg_lambda: 0.001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:04:58,078 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 1000, reg_lambda: 0.0001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:05:21,507 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 1000, reg_lambda: 1e-05 -> 0.4048006883 (445.0 goals/2337.2 expg)
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:64: RuntimeWarning: overflow encountered in add
  self.s2_weights += self.alpha * dW2
project/nn_5_train.py:46: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))
2017-01-16 11:05:57,047 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg)
2017-01-16 11:06:36,272 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 2000, reg_lambda: 0.1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:07:13,465 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 2000, reg_lambda: 0.01 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:07:56,326 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 2000, reg_lambda: 0.001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:08:39,084 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 2000, reg_lambda: 0.0001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:09:22,352 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 2000, reg_lambda: 1e-05 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:10:28,405 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg)
2017-01-16 11:11:45,366 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 4000, reg_lambda: 0.1 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:12:58,143 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 4000, reg_lambda: 0.01 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:14:18,270 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 4000, reg_lambda: 0.001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:15:43,200 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 4000, reg_lambda: 0.0001 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:17:08,517 - INFO    - Total accuracy for hidden_size: 3, alpha: 1, itera: 4000, reg_lambda: 1e-05 -> 0.4048006883 (445.0 goals/2337.2 expg)
2017-01-16 11:17:11,152 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 100, reg_lambda: 1 -> 0.0928674817342 (445.0 goals/10.9 expg)
2017-01-16 11:17:13,952 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 100, reg_lambda: 0.1 -> 0.0951993117004 (445.0 goals/2.02178530227e-128 expg)
2017-01-16 11:17:16,718 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 100, reg_lambda: 0.01 -> 0.0951873294248 (445.0 goals/0.0560051564139 expg)
2017-01-16 11:17:19,481 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 100, reg_lambda: 0.001 -> 0.0951900636659 (445.0 goals/0.0432253132651 expg)
2017-01-16 11:17:22,265 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 100, reg_lambda: 0.0001 -> 0.0951903121134 (445.0 goals/0.0420640696811 expg)
2017-01-16 11:17:25,071 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 100, reg_lambda: 1e-05 -> 0.0951903365659 (445.0 goals/0.0419497785805 expg)
2017-01-16 11:17:35,343 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 500, reg_lambda: 1 -> 0.0928674817342 (445.0 goals/10.9 expg)
2017-01-16 11:17:47,461 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 500, reg_lambda: 0.1 -> 0.0951993117004 (445.0 goals/0.0 expg)
2017-01-16 11:17:59,492 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 500, reg_lambda: 0.01 -> 0.095183091781 (445.0 goals/0.07581190324 expg)
2017-01-16 11:18:11,536 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 500, reg_lambda: 0.001 -> 0.0951936794129 (445.0 goals/0.0263253119141 expg)
2017-01-16 11:18:23,717 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 500, reg_lambda: 0.0001 -> 0.0951945933839 (445.0 goals/0.0220534115783 expg)
2017-01-16 11:18:35,903 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 500, reg_lambda: 1e-05 -> 0.0951946810529 (445.0 goals/0.0216436462528 expg)
2017-01-16 11:18:55,952 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 1000, reg_lambda: 1 -> 0.0928674817342 (445.0 goals/10.9 expg)
2017-01-16 11:19:22,749 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 1000, reg_lambda: 0.1 -> 0.0951993117004 (445.0 goals/0.0 expg)
2017-01-16 11:19:46,673 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 1000, reg_lambda: 0.01 -> 0.0951738502722 (445.0 goals/0.119006715221 expg)
2017-01-16 11:20:10,154 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 1000, reg_lambda: 0.001 -> 0.0951940114926 (445.0 goals/0.024773171305 expg)
2017-01-16 11:20:34,068 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 1000, reg_lambda: 0.0001 -> 0.0951955899483 (445.0 goals/0.0173954695745 expg)
2017-01-16 11:20:57,611 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 1000, reg_lambda: 1e-05 -> 0.0951957347689 (445.0 goals/0.0167185778851 expg)
2017-01-16 11:21:36,637 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 2000, reg_lambda: 1 -> 0.0928674817342 (445.0 goals/10.9 expg)
2017-01-16 11:22:17,331 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 2000, reg_lambda: 0.1 -> 0.0951993117004 (445.0 goals/0.0 expg)
2017-01-16 11:23:09,889 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 2000, reg_lambda: 0.01 -> 0.0951585713749 (445.0 goals/0.190420281203 expg)
2017-01-16 11:23:56,670 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 2000, reg_lambda: 0.001 -> 0.0951934624273 (445.0 goals/0.0273395027199 expg)
2017-01-16 11:24:43,566 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 2000, reg_lambda: 0.0001 -> 0.0951962819661 (445.0 goals/0.0141609779992 expg)
2017-01-16 11:25:30,411 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 2000, reg_lambda: 1e-05 -> 0.0951965227546 (445.0 goals/0.0130355326164 expg)
2017-01-16 11:26:46,798 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 4000, reg_lambda: 1 -> 0.0928674817342 (445.0 goals/10.9 expg)
2017-01-16 11:28:05,715 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 4000, reg_lambda: 0.1 -> 0.0951993117004 (445.0 goals/0.0 expg)
2017-01-16 11:29:42,948 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 4000, reg_lambda: 0.01 -> 0.0951565217975 (445.0 goals/0.200000006281 expg)
2017-01-16 11:31:15,807 - INFO    - Total accuracy for hidden_size: 3, alpha: 0.1, itera: 4000, reg_lambda: 0.001 -> 0.095191360112 (445.0 goals/0.0371657242636 expg)
