"start","day","name","home_avg","away_avg"
1934,6,"FC Sochaux-Montbéliard",3,3
1934,6,"FC Sochaux-Montbéliard",3,3
1934,6,"Stade Rennais FC",1.5,0
1934,6,"Stade Rennais FC",1.5,0
1934,6,"Stade Rennais FC",1.5,0
1934,6,"Stade Rennais FC",1.5,1
1934,6,"Stade Rennais FC",1.5,0
1934,6,"RC Paris",2,1.5
1934,6,"RC Paris",2,0
1934,6,"RC Paris",2,1.5
1934,6,"RC Paris",2,3
1934,6,"RC Paris",2,0
1934,6,"RC Paris",2,0
1934,7,"SC Nîmois",0.5,1.5
1934,7,"SC Nîmois",0.5,0
1934,7,"SC Nîmois",0.5,0.5
1934,7,"SC Nîmois",0.5,1.5
1934,7,"SC Nîmois",0.5,0
1934,7,"SC Nîmois",0.5,0
1934,7,"SC Nîmois",0.5,0
1934,7,"SC Nîmois",0.5,0.5
1934,8,"AS Red Star 93",3,0.5
1934,8,"AS Red Star 93",3,0.5
1934,8,"AS Cannes",1.5,2
1934,8,"AS Cannes",1.5,0
1934,8,"AS Cannes",1.5,0
1934,8,"EAC Roubaix",0,0.5
1934,8,"EAC Roubaix",0,1.5
1934,8,"SO Montpellier",0,0
1934,8,"SO Montpellier",0,0
1934,8,"SO Montpellier",0,1.5
1934,8,"SO Montpellier",0,0
1934,8,"AS Cannes",1.5,0.5
1934,8,"AS Cannes",1.5,1
1934,8,"AS Red Star 93",3,1
1934,8,"AS Cannes",1.5,1.5
1934,8,"EAC Roubaix",0,1.5
1934,8,"EAC Roubaix",0,3
1934,8,"EAC Roubaix",0,1
1934,8,"EAC Roubaix",0,3
1934,8,"AS Red Star 93",3,1.5
1934,8,"AS Red Star 93",3,1.5
1934,8,"AS Red Star 93",3,0
1934,9,"Olympique Lillois",1.5,1.5
1934,9,"Stade Rennais FC",3,0
1934,9,"Stade Rennais FC",3,0
1934,9,"Olympique Lillois",1.5,0
1934,9,"Olympique Lillois",1.5,0
1934,9,"Olympique Lillois",1.5,2
1934,9,"Stade Rennais FC",3,0
1934,9,"Stade Rennais FC",3,1
1934,9,"Stade Rennais FC",3,0
1934,9,"Stade Rennais FC",3,0
1934,9,"FC Sochaux-Montbéliard",1.5,2
1934,9,"FC Sochaux-Montbéliard",1.5,2
1934,9,"FC Sochaux-Montbéliard",1.5,3
