team1,team2,goals1,goals2
ENG,SWI,1,1
NED,SCO,0,0
SWI,NED,0,2
SCO,ENG,0,2
SCO,SWI,1,0
NED,ENG,1,4
SPA,BUL,1,1
ROM,FRA,0,1
BUL,ROM,1,0
FRA,SPA,1,1
FRA,BUL,3,1
ROM,SPA,1,2
GER,CZE,2,0
ITA,RUS,2,1
CZE,ITA,2,1
RUS,GER,0,3
RUS,CZE,3,3
ITA,GER,0,0
DEN,POR,1,1
TUR,CRO,0,1
POR,TUR,1,0
CRO,DEN,3,0
CRO,POR,0,3
TUR,DEN,0,3
