team1,team2,goals1,goals2
SWI,CZE,0,1
POR,TUR,2,0
CZE,POR,1,3
SWI,TUR,1,2
SWI,POR,2,0
TUR,CZE,3,2
AUS,CRO,0,1
GER,POL,2,0
CRO,GER,2,1
AUS,POL,1,1
POL,CRO,0,1
AUS,GER,0,1
ROM,FRA,0,0
NED,ITA,3,0
ITA,ROM,1,1
NED,FRA,4,1
NED,ROM,2,0
FRA,ITA,0,2
SPA,RUS,4,1
GRE,SWE,0,2
SWE,SPA,1,2
GRE,RUS,0,1
GRE,SPA,1,2
RUS,SWE,2,0
