;name_team1;name_team2;home_win;draw;away_win
0;France;Romania;0.291225522757;0.331701427698;0.377073019743
1;Albania;Switzerland;0.147557854652;0.410135865211;0.442306309938
2;Romania;Switzerland;0.644499063492;0.280172795057;0.0753281638026
3;France;Albania;0.633499801159;0.349419176579;0.0170810278505
4;Switzerland;France;0.207142785192;0.555184543133;0.237672686577
5;Romania;Albania;0.519936978817;0.123584367335;0.356478631496
6;Wales;Slovakia;0.257338196039;0.47521007061;0.267451703548
7;England;Russia;0.251419126987;0.740875124931;0.0077057518065
8;Russia;Slovakia;0.816687166691;0.0660671442747;0.117245718837
9;England;Wales;0.310982376337;0.653229236603;0.0357883572578
10;Slovakia;England;0.0126075604931;0.0251902490854;0.962202250957
11;Russia;Wales;0.0867836400867;0.86018717289;0.0530292093754
12;Poland;Northern Ireland;0.885745227337;0.0471637248993;0.0670909881592
13;Germany;Ukraine;0.959531486034;0.0365803055465;0.00388822634704
14;Ukraine;Northern Ireland;0.226618081331;0.0418259389699;0.731555998325
15;Germany;Poland;0.821963906288;0.155139029026;0.0228970702738
16;Northern Ireland;Germany;0.00348169938661;0.176055535674;0.820462763309
17;Ukraine;Poland;0.767157018185;0.0599368549883;0.172906175256
18;Turkey;Croatia;0.0104587618262;0.460891187191;0.528650045395
19;Spain;Czech;0.9743309021;0.00498046865687;0.0206885952502
20;Czech;Croatia;0.701584398746;0.0410083979368;0.257407218218
21;Spain;Turkey;0.736442625523;0.251509517431;0.0120478207245
22;Croatia;Spain;0.0761223062873;0.068890966475;0.854986727238
23;Czech;Turkey;0.780232131481;0.0729188472033;0.146849051118
24;Ireland;Sweden;0.277960956097;0.00776712084189;0.714271903038
25;Belgium;Italy;0.112198151648;0.785039484501;0.1027623564
26;Italy;Sweden;0.839419126511;0.010114970617;0.150465905666
27;Belgium;Ireland;0.0747356265783;0.0803194046021;0.844945013523
28;Sweden;Belgium;0.992053031921;0.00354486214928;0.00440205540508
29;Italy;Ireland;0.97784525156;0.0125847859308;0.00956993829459
30;Austria;Hungary;0.00281774136238;0.052734348923;0.944447875023
31;Portugal;Iceland;0.956595301628;0.029993198812;0.0134115340188
32;Iceland;Hungary;0.242918670177;0.0843400806189;0.672741234303
33;Portugal;Austria;0.960915088654;0.00983317941427;0.0292517207563
34;Iceland;Austria;0.13372848928;0.838018059731;0.0282534155995
35;Hungary;Portugal;0.851497769356;0.0704588070512;0.0780434384942
