team1,team2,goals1,goals2
POL,GRE,1,1
RUS,CZE,4,1
GRE,CZE,1,2
POL,RUS,1,1
CZE,POL,1,0
GRE,RUS,1,0
NED,DEN,0,1
GER,POR,1,0
DEN,POR,2,3
NED,GER,1,2
POR,NED,2,1
DEN,GER,1,2
SPA,ITA,1,1
IRE,CRO,1,3
ITA,CRO,1,1
SPA,IRE,4,0
CRO,SPA,0,1
ITA,IRE,2,0
FRA,ENG,1,1
UKR,SWE,2,1
UKR,FRA,0,2
SWE,ENG,2,3
ENG,UKR,1,0
SWE,FRA,2,0
