team1,team2,goals1,goals2
GER,ROM,1,1
POR,ENG,3,2
ROM,POR,0,1
ENG,GER,1,0
ENG,ROM,2,3
POR,GER,3,0
BEL,SWE,2,1
TUR,ITA,1,2
ITA,BEL,2,0
SWE,TUR,0,0
TUR,BEL,2,0
ITA,SWE,2,1
SPA,NOR,0,1
YUG,SLO,3,3
SLO,SPA,1,2
NOR,YUG,0,1
YUG,SPA,3,4
SLO,NOR,0,0
FRA,DEN,3,0
NED,CZE,1,0
CZE,FRA,1,2
DEN,NED,0,3
DEN,CZE,0,2
FRA,NED,2,3
